Team Name,Achievement Type,Year
BOSTON CELTICS,Championship Wins,1957
BOSTON CELTICS,Championship Wins,1959
BOSTON CELTICS,Championship Wins,1960
BOSTON CELTICS,Championship Wins,1961
BOSTON CELTICS,Championship Wins,1962
BOSTON CELTICS,Championship Wins,1963
BOSTON CELTICS,Championship Wins,1964
BOSTON CELTICS,Championship Wins,1965
BOSTON CELTICS,Championship Wins,1966
BOSTON CELTICS,Championship Wins,1968
BOSTON CELTICS,Championship Wins,1969
BOSTON CELTICS,Championship Wins,1974
BOSTON CELTICS,Championship Wins,1976
BOSTON CELTICS,Championship Wins,1981
BOSTON CELTICS,Championship Wins,1984
BOSTON CELTICS,Championship Wins,1986
BOSTON CELTICS,Championship Wins,2008
BOSTON CELTICS,Championship Wins,2024
BOSTON CELTICS,Conference Titles,1974
BOSTON CELTICS,Conference Titles,1976
BOSTON CELTICS,Conference Titles,1981
BOSTON CELTICS,Conference Titles,1984
BOSTON CELTICS,Conference Titles,1985
BOSTON CELTICS,Conference Titles,1986
BOSTON CELTICS,Conference Titles,1987
BOSTON CELTICS,Conference Titles,2008
BOSTON CELTICS,Conference Titles,2010
BOSTON CELTICS,Conference Titles,2022
BOSTON CELTICS,Conference Titles,2024
BOSTON CELTICS,Division Titles,1957
BOSTON CELTICS,Division Titles,1958
BOSTON CELTICS,Division Titles,1959
BOSTON CELTICS,Division Titles,1960
BOSTON CELTICS,Division Titles,1961
BOSTON CELTICS,Division Titles,1962
BOSTON CELTICS,Division Titles,1963
BOSTON CELTICS,Division Titles,1964
BOSTON CELTICS,Division Titles,1965
BOSTON CELTICS,Division Titles,1972
BOSTON CELTICS,Division Titles,1973
BOSTON CELTICS,Division Titles,1974
BOSTON CELTICS,Division Titles,1975
BOSTON CELTICS,Division Titles,1976
BOSTON CELTICS,Division Titles,1980
BOSTON CELTICS,Division Titles,1981
BOSTON CELTICS,Division Titles,1982
BOSTON CELTICS,Division Titles,1984
BOSTON CELTICS,Division Titles,1985
BOSTON CELTICS,Division Titles,1986
BOSTON CELTICS,Division Titles,1987
BOSTON CELTICS,Division Titles,1988
BOSTON CELTICS,Division Titles,1991
BOSTON CELTICS,Division Titles,1992
BOSTON CELTICS,Division Titles,2005
BOSTON CELTICS,Division Titles,2008
BOSTON CELTICS,Division Titles,2009
BOSTON CELTICS,Division Titles,2010
BOSTON CELTICS,Division Titles,2011
BOSTON CELTICS,Division Titles,2012
