Team Name,Record Type,Player,Player Link,Stat Value
BOSTON CELTICS,Total Points,John Havlicek,https://www.nba.com/player/76970/,26395
BOSTON CELTICS,Total Assists,Bob Cousy,https://www.nba.com/player/600003/,6945
BOSTON CELTICS,Total Rebounds,Bill Russell,https://www.nba.com/player/78049/,21620
BOSTON CELTICS,Total Blocks,Robert Parish,https://www.nba.com/player/305/,1703
BOSTON CELTICS,Total Steals,Paul Pierce,https://www.nba.com/player/1718/,1583
BROOKLYN NETS,Total Points,Brook Lopez,https://www.nba.com/player/201572/,10444
BROOKLYN NETS,Total Assists,Jason Kidd,https://www.nba.com/player/467/,4620
BROOKLYN NETS,Total Rebounds,Buck Williams,https://www.nba.com/player/433/,7576
BROOKLYN NETS,Total Blocks,Brook Lopez,https://www.nba.com/player/201572/,972
BROOKLYN NETS,Total Steals,Jason Kidd,https://www.nba.com/player/467/,950
NEW YORK KNICKS,Total Points,Patrick Ewing,https://www.nba.com/player/121/,23665
NEW YORK KNICKS,Total Assists,Walt Frazier,https://www.nba.com/player/76750/,4791
NEW YORK KNICKS,Total Rebounds,Patrick Ewing,https://www.nba.com/player/121/,10759
NEW YORK KNICKS,Total Blocks,Patrick Ewing,https://www.nba.com/player/121/,2758
NEW YORK KNICKS,Total Steals,Patrick Ewing,https://www.nba.com/player/121/,1061
PHILADELPHIA 76ERS,Total Points,Hal Greer,https://www.nba.com/player/76882/,21586
PHILADELPHIA 76ERS,Total Assists,Maurice Cheeks,https://www.nba.com/player/76385/,6212
PHILADELPHIA 76ERS,Total Rebounds,Dolph Schayes,https://www.nba.com/player/78076/,11256
PHILADELPHIA 76ERS,Total Blocks,Julius Erving,https://www.nba.com/player/76681/,1293
PHILADELPHIA 76ERS,Total Steals,Maurice Cheeks,https://www.nba.com/player/76385/,1942
TORONTO RAPTORS,Total Points,DeMar DeRozan,https://www.nba.com/player/201942/,13296
TORONTO RAPTORS,Total Assists,Kyle Lowry,https://www.nba.com/player/200768/,4277
TORONTO RAPTORS,Total Rebounds,Chris Bosh,https://www.nba.com/player/2547/,4776
TORONTO RAPTORS,Total Blocks,Chris Bosh,https://www.nba.com/player/2547/,600
TORONTO RAPTORS,Total Steals,Kyle Lowry,https://www.nba.com/player/200768/,873
