Team Name,Player Link,Player,#,Pos,Seasons With Team,Year of Induction
BOSTON CELTICS,https://www.nba.com/player/708,Kevin Garnett,5,F,2008-2013,2022
BOSTON CELTICS,https://www.nba.com/player/1718,Paul Pierce,34,F,1999-2013,2018
BOSTON CELTICS,https://www.nba.com/player/77487,Cedric Maxwell,31,F,1978-1985,2003
BOSTON CELTICS,https://www.nba.com/player/305,Robert Parish,00,C,1981-1994,1998
BOSTON CELTICS,https://www.nba.com/player/1450,Kevin McHale,32,F,1981-1993,1994
BOSTON CELTICS,https://www.nba.com/player/1449,Larry Bird,33,F,1980-1992,1993
BOSTON CELTICS,https://www.nba.com/player/77141,Dennis Johnson,3,G,1984-1990,1991
BOSTON CELTICS,,Johnny Most,,Broadcaster,1953-1990,1990
BOSTON CELTICS,https://www.nba.com/player/77384,Reggie Lewis,35,F,1988-1993,1990
BOSTON CELTICS,,Red Auerbach,2,"Head Coach, Executive",1950-2006,1985
BOSTON CELTICS,https://www.nba.com/player/78510,Jo Jo White,10,G,1970-1979,1982
BOSTON CELTICS,https://www.nba.com/player/76462,Dave Cowens,18,C,1971-1980,1981
BOSTON CELTICS,https://www.nba.com/player/77700,Don Nelson,19,F,1966-1976,1978
BOSTON CELTICS,https://www.nba.com/player/76970,John Havlicek,17,F,1963-1978,1978
BOSTON CELTICS,https://www.nba.com/player/78060,Satch Sanders,16,F,1961-1973,1973
BOSTON CELTICS,https://www.nba.com/player/78049,Bill Russell,6,C,1957-1969,1972
BOSTON CELTICS,https://www.nba.com/player/77196,Sam Jones,24,G,1958-1969,1969
BOSTON CELTICS,https://www.nba.com/player/77188,K.C. Jones,25,G,1959-1967,1967
BOSTON CELTICS,https://www.nba.com/player/78126,Bill Sharman,21,G,1952-1961,1966
BOSTON CELTICS,https://www.nba.com/player/76988,Tom Heinsohn,15,F,1957-1965,1966
BOSTON CELTICS,https://www.nba.com/player/77907,Frank Ramsey,23,F,1955-1964,1964
BOSTON CELTICS,https://www.nba.com/player/77409,"Jim ""Loscy"" Loscutoff",LOSCY,F,1956-1964,1964
BOSTON CELTICS,,Walter Brown,1,Owner,1946-1964,1964
