Player,#,Pos,Height,Weight,Birthdate,Age,Exp,School,How Acquired,Team Name,Player Link
Jayson Tatum,0,F-G,6-8,210 lbs,"MAR 03, 1998",26,7,Duke,#3 Pick In 2017 Draft,BOSTON CELTICS,https://www.nba.com/player/1628369/jayson-tatum/
Jrue Holiday,4,G,6-4,205 lbs,"JUN 12, 1990",34,15,UCLA,Traded From POR On 10/01/23,BOSTON CELTICS,https://www.nba.com/player/201950/jrue-holiday/
Jaylen Brown,7,G-F,6-6,223 lbs,"OCT 24, 1996",28,8,California,#3 Pick In 2016 Draft,BOSTON CELTICS,https://www.nba.com/player/1627759/jaylen-brown/
Kristaps Porziņģis,8,F-C,7-2,240 lbs,"AUG 02, 1995",29,8,Cajasol Sevilla,Traded From WAS On 06/23/23,BOSTON CELTICS,https://www.nba.com/player/204001/kristaps-porzi%C5%86%C4%A3is/
Derrick White,9,G,6-4,190 lbs,"JUL 02, 1994",30,7,Colorado,Traded From SAS On 02/10/22,BOSTON CELTICS,https://www.nba.com/player/1628401/derrick-white/
Payton Pritchard,11,G,6-1,195 lbs,"JAN 28, 1998",26,4,Oregon,#26 Pick In 2020 Draft,BOSTON CELTICS,https://www.nba.com/player/1630202/payton-pritchard/
Drew Peterson,13,F,6-9,205 lbs,"NOV 09, 1999",25,1,Southern California,Signed On 12/14/23,BOSTON CELTICS,https://www.nba.com/player/1641809/drew-peterson/
JD Davison,20,G,6-1,195 lbs,"OCT 03, 2002",22,2,Alabama,#53 Pick In 2022 Draft,BOSTON CELTICS,https://www.nba.com/player/1631120/jd-davison/
Xavier Tillman,26,F,6-7,245 lbs,"JAN 12, 1999",25,4,Michigan State,Traded From MEM On 02/07/24,BOSTON CELTICS,https://www.nba.com/player/1630214/xavier-tillman/
Jordan Walsh,27,G,6-6,205 lbs,"MAR 03, 2004",20,1,Arkansas,Draft Rights Traded From SAC On 06/28/23,BOSTON CELTICS,https://www.nba.com/player/1641775/jordan-walsh/
Anton Watson,28,F,6-8,225 lbs,"OCT 06, 2000",24,R,Gonzaga,#54 Pick In 2024 Draft,BOSTON CELTICS,https://www.nba.com/player/1641817/anton-watson/
Sam Hauser,30,F,6-7,217 lbs,"DEC 08, 1997",26,3,Virginia,Signed On 08/13/21,BOSTON CELTICS,https://www.nba.com/player/1630573/sam-hauser/
Luke Kornet,40,C-F,7-1,250 lbs,"JUL 15, 1995",29,7,Vanderbilt,Signed On 02/11/22,BOSTON CELTICS,https://www.nba.com/player/1628436/luke-kornet/
Al Horford,42,C-F,6-9,240 lbs,"JUN 03, 1986",38,17,Florida,Traded From OKC On 06/18/21,BOSTON CELTICS,https://www.nba.com/player/201143/al-horford/
Jaden Springer,44,G,6-4,202 lbs,"SEP 25, 2002",22,3,Tennessee,Traded From PHI On 02/08/24,BOSTON CELTICS,https://www.nba.com/player/1630531/jaden-springer/
Baylor Scheierman,55,G,6-6,205 lbs,"SEP 26, 2000",24,R,Creighton,#30 Pick In 2024 Draft,BOSTON CELTICS,https://www.nba.com/player/1631248/baylor-scheierman/
Neemias Queta,88,C,7-0,248 lbs,"JUL 13, 1999",25,3,Utah State,Signed On 09/19/23,BOSTON CELTICS,https://www.nba.com/player/1629674/neemias-queta/
Dariq Whitehead,0,G-F,6-6,220 lbs,"AUG 01, 2004",20,1,Duke,#22 Pick In 2023 Draft,BROOKLYN NETS,https://www.nba.com/player/1641727/dariq-whitehead/
Ziaire Williams,1,F,6-9,185 lbs,"SEP 12, 2001",23,3,Stanford,Traded From MEM On 07/19/24,BROOKLYN NETS,https://www.nba.com/player/1630533/ziaire-williams/
Cameron Johnson,2,F,6-8,210 lbs,"MAR 03, 1996",28,5,North Carolina,Traded From PHX On 02/09/23,BROOKLYN NETS,https://www.nba.com/player/1629661/cameron-johnson/
Shake Milton,7,G,6-5,205 lbs,"SEP 26, 1996",28,6,Southern Methodist,Traded From NYK On 07/06/24,BROOKLYN NETS,https://www.nba.com/player/1629003/shake-milton/
Cui Yongxi,8,F,6-5,190 lbs,"MAY 28, 2003",21,R,Guangzhou Loong Lions,Signed On 09/20/24,BROOKLYN NETS,https://www.nba.com/player/1642385/cui-yongxi/
Trendon Watford,9,G-F,6-8,237 lbs,"NOV 09, 2000",24,3,Louisiana State,Signed On 08/03/23,BROOKLYN NETS,https://www.nba.com/player/1630570/trendon-watford/
Ben Simmons,10,G-F,6-10,240 lbs,"JUL 20, 1996",28,6,Louisiana State,Traded From PHI On 02/10/22,BROOKLYN NETS,https://www.nba.com/player/1627732/ben-simmons/
Tyrese Martin,13,F,6-6,215 lbs,"MAR 07, 1999",25,1,Connecticut,Signed On 09/20/24,BROOKLYN NETS,https://www.nba.com/player/1631213/tyrese-martin/
Jaylen Martin,16,G,6-6,216 lbs,"JAN 28, 2004",20,R,Overtime Elite,Signed On 02/21/24,BROOKLYN NETS,https://www.nba.com/player/1641798/jaylen-martin/
Dennis Schröder,17,G,6-1,175 lbs,"SEP 15, 1993",31,11,Braunschweig,Traded From TOR On 02/08/24,BROOKLYN NETS,https://www.nba.com/player/203471/dennis-schr%C3%B6der/
Day'Ron Sharpe,20,C,6-9,265 lbs,"NOV 06, 2001",23,3,North Carolina,Draft Rights Traded From PHX On 08/06/21,BROOKLYN NETS,https://www.nba.com/player/1630549/dayron-sharpe/
Noah Clowney,21,F-C,6-9,210 lbs,"JUL 14, 2004",20,1,Alabama,#21 Pick In 2023 Draft,BROOKLYN NETS,https://www.nba.com/player/1641730/noah-clowney/
Jalen Wilson,22,F,6-6,220 lbs,"NOV 04, 2000",24,1,Kansas,#51 Pick In 2023 Draft,BROOKLYN NETS,https://www.nba.com/player/1630592/jalen-wilson/
Cam Thomas,24,G,6-3,210 lbs,"OCT 13, 2001",23,3,Louisiana State,#27 Pick In 2021 Draft,BROOKLYN NETS,https://www.nba.com/player/1630560/cam-thomas/
Dorian Finney-Smith,28,F,6-7,220 lbs,"MAY 04, 1993",31,8,Florida,Traded From DAL On 02/06/23,BROOKLYN NETS,https://www.nba.com/player/1627827/dorian-finney-smith/
Nic Claxton,33,C,6-11,215 lbs,"APR 17, 1999",25,5,Georgia,#31 Pick In 2019 Draft,BROOKLYN NETS,https://www.nba.com/player/1629651/nic-claxton/
Bojan Bogdanović,44,F,6-7,226 lbs,"APR 18, 1989",35,10,Fenerbahce,Traded From NYK On 07/06/24,BROOKLYN NETS,https://www.nba.com/player/202711/bojan-bogdanovi%C4%87/
Keon Johnson,45,G,6-5,185 lbs,"MAR 10, 2002",22,3,Tennessee,Signed On 11/01/23,BROOKLYN NETS,https://www.nba.com/player/1630553/keon-johnson/
Boo Buie III,,,6-2,180 lbs,"DEC 07, 1999",24,R,Northwestern,Signed On 10/07/24,NEW YORK KNICKS,https://www.nba.com/player/1642486/boo-buie-iii/
Jacob Toppin,00,F,6-8,200 lbs,"MAY 08, 2000",24,1,Kentucky,Signed On 07/06/23,NEW YORK KNICKS,https://www.nba.com/player/1631210/jacob-toppin/
Cameron Payne,1,G,6-3,183 lbs,"AUG 08, 1994",30,9,Murray State,Signed On 07/15/24,NEW YORK KNICKS,https://www.nba.com/player/1626166/cameron-payne/
Miles McBride,2,G,6-1,195 lbs,"SEP 08, 2000",24,3,West Virginia,Draft Rights Traded From OKC On 07/30/21,NEW YORK KNICKS,https://www.nba.com/player/1630540/miles-mcbride/
Josh Hart,3,G,6-4,215 lbs,"MAR 06, 1995",29,7,Villanova,Traded From POR On 02/09/23,NEW YORK KNICKS,https://www.nba.com/player/1628404/josh-hart/
Pacôme Dadiet,4,F,6-8,210 lbs,"JUL 27, 2005",19,R,Ratiopharm Ulm,#25 Pick In 2024 Draft,NEW YORK KNICKS,https://www.nba.com/player/1642359/pac%C3%B4me-dadiet/
Precious Achiuwa,5,F,6-8,243 lbs,"SEP 19, 1999",25,4,Memphis,Traded From TOR On 12/30/23,NEW YORK KNICKS,https://www.nba.com/player/1630173/precious-achiuwa/
OG Anunoby,8,F-G,6-7,240 lbs,"JUL 17, 1997",27,7,Indiana,Traded From TOR On 12/30/23,NEW YORK KNICKS,https://www.nba.com/player/1628384/og-anunoby/
Kevin McCullar Jr.,9,G,6-6,210 lbs,"MAR 15, 2001",23,R,Kansas,Draft Rights Traded From PHX On 06/27/24,NEW YORK KNICKS,https://www.nba.com/player/1641755/kevin-mccullar-jr/
Jalen Brunson,11,G,6-2,190 lbs,"AUG 31, 1996",28,6,Villanova,Signed On 07/12/22,NEW YORK KNICKS,https://www.nba.com/player/1628973/jalen-brunson/
Tyler Kolek,13,G,6-3,195 lbs,"MAR 27, 2001",23,R,Marquette,Draft Rights Traded From POR On 06/27/24,NEW YORK KNICKS,https://www.nba.com/player/1642278/tyler-kolek/
Jericho Sims,20,C,6-10,250 lbs,"OCT 20, 1998",26,3,Texas,#58 Pick In 2021 Draft,NEW YORK KNICKS,https://www.nba.com/player/1630579/jericho-sims/
Mitchell Robinson,23,C-F,7-0,240 lbs,"APR 01, 1998",26,6,Western Kentucky,#36 Pick In 2018 Draft,NEW YORK KNICKS,https://www.nba.com/player/1629011/mitchell-robinson/
Mikal Bridges,25,G-F,6-6,209 lbs,"AUG 30, 1996",28,6,Villanova,Traded From BKN On 07/06/24,NEW YORK KNICKS,https://www.nba.com/player/1628969/mikal-bridges/
Karl-Anthony Towns,32,C-F,7-0,248 lbs,"NOV 15, 1995",29,9,Kentucky,Traded From MIN On 10/02/24,NEW YORK KNICKS,https://www.nba.com/player/1626157/karl-anthony-towns/
