#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF,SEASON
1,Giannis Antetokounmpo,MIL,23,35.2,32.7,12.8,20.8,61.4,0.1,0.7,17.6,7.0,11.4,61.5,2.0,9.5,11.5,6.1,0.6,1.6,3.3,36.7,2024-25
2,Nikola Jokić,DEN,21,37.3,30.9,11.8,21.1,55.8,2.1,4.4,48.9,5.2,6.6,79.7,3.8,9.5,13.3,9.9,1.8,0.7,3.9,42.1,2024-25
3,Shai Gilgeous-Alexander,OKC,26,34.5,30.5,10.7,20.8,51.3,2.1,6.2,33.5,7.0,8.1,86.7,0.8,4.7,5.4,6.3,2.0,1.0,2.7,31.3,2024-25
4,LaMelo Ball,CHA,20,33.7,30.4,10.5,24.8,42.1,4.5,13.1,34.4,5.0,6.0,84.0,0.9,4.4,5.3,7.5,1.4,0.2,4.3,25.2,2024-25
5,Luka Dončić,DAL,20,37.0,28.9,10.1,21.9,45.9,3.6,10.0,35.5,5.3,6.9,76.6,0.7,7.9,8.6,8.2,2.1,0.5,3.5,31.3,2024-25
6,Jayson Tatum,BOS,25,36.4,28.3,9.3,20.5,45.3,3.8,10.5,35.9,6.0,7.4,80.1,0.5,8.5,9.0,5.5,1.2,0.5,2.8,29.1,2024-25
7,Anthony Davis,LAL,25,35.3,27.8,10.1,18.9,53.4,0.7,2.4,30.5,6.9,8.8,78.6,2.5,8.9,11.4,3.3,1.2,2.0,2.2,32.9,2024-25
8,Anthony Edwards,MIN,25,35.9,26.2,9.2,20.3,45.4,4.3,10.2,42.4,3.5,4.4,80.7,0.6,4.8,5.4,3.8,1.3,0.6,3.1,22.4,2024-25
9,De'Aaron Fox,SAC,27,37.3,26.2,9.7,20.2,48.3,2.0,6.3,32.4,4.7,5.9,79.7,1.1,3.9,5.1,6.1,1.6,0.3,3.5,24.2,2024-25
10,Damian Lillard,MIL,22,36.4,25.7,7.9,17.6,45.0,3.5,9.3,37.1,6.5,7.0,91.6,0.5,4.0,4.5,7.5,1.0,0.2,3.0,25.7,2024-25
11,Devin Booker,PHX,25,37.0,25.4,8.1,18.5,43.7,2.8,7.9,35.0,6.5,7.2,90.0,1.2,2.6,3.7,6.4,1.1,0.4,2.3,23.6,2024-25
12,Tyrese Maxey,PHI,18,36.9,25.1,8.7,21.3,41.0,2.9,9.3,31.7,4.7,5.6,83.2,0.2,3.4,3.7,5.0,2.1,0.3,2.3,20.3,2024-25
13,Jalen Brunson,NYK,26,34.4,25.0,8.4,17.2,48.9,2.7,6.2,43.2,5.4,6.6,82.0,0.4,2.5,3.0,7.7,0.7,0.1,2.4,24.0,2024-25
14,Karl-Anthony Towns,NYK,24,34.3,24.8,8.8,16.6,52.6,2.3,5.1,43.9,5.0,5.9,84.5,3.0,11.0,13.9,3.3,0.9,1.0,2.5,32.5,2024-25
15,Franz Wagner,ORL,25,33.2,24.4,8.8,18.9,46.5,2.0,6.4,32.1,4.8,5.4,88.1,0.9,4.7,5.6,5.7,1.7,0.5,2.4,24.7,2024-25
16,Tyler Herro,MIA,24,34.9,24.1,8.4,17.6,47.6,4.2,10.1,41.3,3.2,3.7,87.5,0.3,5.0,5.3,4.8,0.8,0.1,2.5,22.9,2024-25
17,Cade Cunningham,DET,24,36.3,23.9,9.0,19.8,45.7,2.5,6.4,38.6,3.3,4.3,78.4,1.1,6.3,7.3,9.6,0.8,0.9,4.5,26.3,2024-25
17,Kyrie Irving,DAL,24,35.3,23.9,8.9,17.6,50.4,3.1,6.6,46.8,3.0,3.5,88.0,1.1,3.6,4.7,5.3,1.2,0.3,2.2,24.0,2024-25
19,Victor Wembanyama,SAS,21,32.3,23.6,8.6,18.2,47.3,3.0,8.9,33.3,3.4,3.9,88.9,2.0,8.3,10.3,3.9,1.1,3.5,3.6,28.8,2024-25
20,Jaylen Brown,BOS,22,35.4,23.6,8.3,18.8,44.0,2.4,7.2,33.3,4.6,6.2,75.0,1.4,4.5,5.9,4.6,1.2,0.4,2.7,20.8,2024-25
21,RJ Barrett,TOR,24,34.3,23.5,8.6,19.0,45.5,2.0,5.7,35.0,4.3,5.9,72.5,0.9,5.8,6.8,6.1,0.8,0.5,3.5,22.2,2024-25
22,Norman Powell,LAC,20,32.2,23.5,8.2,16.4,50.2,3.9,8.0,48.4,3.2,3.9,83.1,0.3,2.8,3.1,2.5,1.1,0.2,2.0,19.4,2024-25
23,Donovan Mitchell,CLE,26,31.9,23.3,8.3,18.6,44.8,3.7,9.2,40.4,2.9,3.7,80.0,0.5,4.2,4.7,4.5,1.6,0.3,2.1,21.3,2024-25
24,Stephen Curry,GSW,21,30.6,22.0,7.2,16.2,44.3,4.0,9.9,40.9,3.5,3.8,92.5,0.5,4.6,5.0,6.4,1.3,0.5,3.1,22.7,2024-25
25,LeBron James,LAL,24,35.0,22.8,8.7,17.6,49.2,2.1,5.7,36.5,3.4,4.5,74.3,1.0,7.0,8.0,9.1,0.7,0.6,4.1,27.0,2024-25
26,DeMar DeRozan,SAC,22,35.5,22.5,8.2,16.7,49.3,0.7,2.1,31.9,5.4,6.3,85.6,0.5,3.4,3.9,4.0,1.6,0.5,1.7,21.5,2024-25
27,Zach LaVine,CHI,24,33.3,22.3,8.0,15.8,50.5,3.3,7.7,43.5,3.0,3.7,80.9,0.2,4.3,4.5,4.2,0.8,0.3,2.8,20.7,2024-25
28,James Harden,LAC,26,33.7,22.1,6.3,16.2,39.1,3.0,8.4,35.3,6.5,7.3,88.9,0.5,5.9,6.5,8.3,1.6,0.7,4.5,23.9,2024-25
29,Jaren Jackson Jr.,MEM,26,27.9,21.8,7.8,15.0,51.8,1.8,5.0,36.6,4.4,5.3,82.0,1.3,4.5,5.8,1.5,1.5,1.7,2.0,22.2,2024-25
30,Brandon Miller,CHA,22,34.4,21.5,7.5,18.5,40.6,3.9,11.0,35.3,2.7,3.0,89.4,1.0,4.2,5.2,3.5,1.1,0.8,2.9,17.9,2024-25
31,Domantas Sabonis,SAC,25,36.0,21.5,8.2,13.2,62.6,1.0,2.4,43.3,4.0,4.8,83.3,3.4,9.7,13.1,6.0,0.8,0.4,3.1,33.0,2024-25
