Team Name,Year,Overall - ,GP - Games Played,MIN - Minutes Played,PTS - Points,W - Wins,L - Losses,W_PCT - Win Percentage,FGM - Field Goals Made,FGA - Field Goals Attempted,FG_PCT - Field Goal Percentage,FG3M - 3 Point Field Goals Made,FG3A - 3 Point Field Goals Attempted,FG3_PCT - 3 Point Field Goal Percentage,FTM - Free Throws Made,FTA - Free Throws Attempted,FT_PCT - Free Throw Percentage,OREB - Offensive Rebounds,DREB - Defensive Rebounds,REB - Rebounds,AST - Assists,TOV - Turnovers,STL - Steals,BLK - Blocks,PF - Personal Fouls,PLUS_MINUS - Plus-Minus
BOSTON CELTICS,2024-25,2024-25,15,49.0,121.5,12,3,.800,41.9,90.5,46.3,19.1,50.5,37.9,18.7,22.8,81.9,10.3,32.5,42.7,25.9,12.1,7.1,4.9,16.5,9.7
BOSTON CELTICS,2023-24,2023-24,82,48.4,120.6,64,18,.780,43.9,90.2,48.7,16.5,42.5,38.8,16.3,20.2,80.7,10.7,35.6,46.3,26.9,11.9,6.8,6.6,16.2,11.3
BOSTON CELTICS,2022-23,2022-23,82,48.7,117.9,57,25,.695,42.2,88.8,47.5,16.0,42.6,37.7,17.5,21.6,81.2,9.7,35.6,45.3,26.7,13.4,6.4,5.2,18.8,6.5
BOSTON CELTICS,2021-22,2021-22,82,48.5,111.8,51,31,.622,40.7,87.4,46.6,13.2,37.1,35.6,17.0,20.9,81.6,10.5,35.5,46.1,24.8,13.6,7.2,5.8,18.5,7.3
BOSTON CELTICS,2020-21,2020-21,72,48.3,112.6,36,36,.500,41.5,88.9,46.6,13.6,36.4,37.4,16.1,20.8,77.5,10.6,33.6,44.3,23.5,14.1,7.7,5.3,20.4,1.5
BOSTON CELTICS,2019-20,2019-20,72,48.4,113.7,48,24,.667,41.3,89.6,46.1,12.6,34.5,36.4,18.6,23.2,80.1,10.7,35.4,46.1,23.0,13.8,8.3,5.6,21.6,6.3
BOSTON CELTICS,2018-19,2018-19,82,48.2,112.4,49,33,.598,42.1,90.5,46.5,12.6,34.5,36.5,15.6,19.5,80.2,9.8,34.7,44.5,26.3,12.8,8.6,5.3,20.4,4.4
BOSTON CELTICS,2017-18,2017-18,82,48.3,104.0,55,27,.671,38.3,85.1,45.0,11.5,30.4,37.7,16.0,20.7,77.1,9.4,35.1,44.5,22.5,14.0,7.4,4.5,19.7,3.6
BOSTON CELTICS,2016-17,2016-17,82,48.2,108.0,53,29,.646,38.6,85.1,45.4,12.0,33.4,35.9,18.7,23.2,80.7,9.1,32.9,42.0,25.2,13.3,7.5,4.1,20.6,2.6
BOSTON CELTICS,2015-16,2015-16,82,48.2,105.7,48,34,.585,39.2,89.2,43.9,8.7,26.1,33.5,18.5,23.5,78.8,11.6,33.3,44.9,24.2,13.7,9.2,4.2,21.9,3.2
BOSTON CELTICS,2014-15,2014-15,82,48.5,101.4,40,42,.488,38.9,87.9,44.3,8.0,24.6,32.7,15.4,20.5,75.4,11.1,32.7,43.8,24.5,13.8,8.2,3.6,21.2,0.2
BOSTON CELTICS,2013-14,2013-14,82,48.1,96.2,25,57,.305,36.5,83.9,43.5,7.0,21.1,33.3,16.2,20.8,77.7,12.0,30.5,42.5,21.0,15.4,7.1,4.2,21.3,-4.5
BOSTON CELTICS,2012-13,2012-13,81,49.0,96.5,41,40,.506,37.0,79.7,46.5,6.1,17.2,35.8,16.3,21.0,77.6,8.1,31.3,39.3,22.8,14.6,8.2,4.5,21.2,-0.2
BOSTON CELTICS,2011-12,2012-13,81,49.0,96.5,41,40,.506,37.0,79.7,46.5,6.1,17.2,35.8,16.3,21.0,77.6,8.1,31.3,39.3,22.8,14.6,8.2,4.5,21.2,-0.2
BOSTON CELTICS,2010-11,2011-12,66,48.3,91.8,39,27,.591,35.5,77.1,46.0,5.5,15.0,36.7,15.4,19.8,77.8,7.7,31.1,38.8,23.6,14.8,7.5,5.5,19.9,2.5
BOSTON CELTICS,2009-10,2010-11,82,48.2,96.5,56,26,.683,36.9,75.8,48.6,5.0,13.6,36.5,17.8,23.1,77.0,7.8,31.0,38.8,23.4,14.6,8.2,4.2,20.5,5.4
