Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
San Antonio Spurs,62,20,0.756,0.0,106.6,100.6,5.9,1995
Utah Jazz,60,22,0.732,2.0,106.4,98.4,7.76,1995
Houston Rockets,47,35,0.573,15.0,103.5,101.4,2.32,1995
Denver Nuggets,41,41,0.5,21.0,101.3,100.5,0.96,1995
Dallas Mavericks,36,46,0.439,26.0,103.2,106.1,-2.39,1995
Minnesota Timberwolves,21,61,0.256,41.0,94.2,103.2,-8.22,1995
Phoenix Suns,59,23,0.72,0.0,110.6,106.8,3.86,1995
Seattle SuperSonics,57,25,0.695,2.0,110.4,102.2,7.91,1995
Los Angeles Lakers,48,34,0.585,11.0,105.1,105.3,-0.01,1995
Portland Trail Blazers,44,38,0.537,15.0,103.1,99.2,3.8,1995
Sacramento Kings,39,43,0.476,20.0,98.2,99.2,-0.74,1995
Golden State Warriors,26,56,0.317,33.0,105.7,111.1,-4.9,1995
Los Angeles Clippers,17,65,0.207,42.0,96.7,105.8,-8.43,1995
San Antonio Spurs,59,23,0.72,0.0,103.4,97.1,5.98,1996
Utah Jazz,55,27,0.671,4.0,102.5,95.9,6.25,1996
Houston Rockets,48,34,0.585,11.0,102.5,100.7,1.63,1996
Denver Nuggets,35,47,0.427,24.0,97.7,100.4,-2.62,1996
Minnesota Timberwolves,26,56,0.317,33.0,97.9,103.2,-5.14,1996
Dallas Mavericks,26,56,0.317,33.0,102.5,107.5,-4.71,1996
Vancouver Grizzlies,15,67,0.183,44.0,89.8,99.8,-9.55,1996
Seattle SuperSonics,64,18,0.78,0.0,104.5,96.7,7.4,1996
Los Angeles Lakers,53,29,0.646,11.0,102.9,98.5,4.21,1996
Portland Trail Blazers,44,38,0.537,20.0,99.3,97.0,2.21,1996
Phoenix Suns,41,41,0.5,23.0,104.3,104.0,0.28,1996
Sacramento Kings,39,43,0.476,25.0,99.5,102.3,-2.62,1996
Golden State Warriors,36,46,0.439,28.0,101.6,103.1,-1.42,1996
Los Angeles Clippers,29,53,0.354,35.0,99.4,103.0,-3.46,1996
Utah Jazz,64,18,0.78,0.0,103.1,94.3,7.97,1997
Houston Rockets,57,25,0.695,7.0,100.6,96.1,3.85,1997
Minnesota Timberwolves,40,42,0.488,24.0,96.1,97.6,-1.82,1997
Dallas Mavericks,24,58,0.293,40.0,90.6,97.0,-6.47,1997
Denver Nuggets,21,61,0.256,43.0,97.8,104.1,-6.4,1997
San Antonio Spurs,20,62,0.244,44.0,90.5,98.3,-7.93,1997
Vancouver Grizzlies,14,68,0.171,50.0,89.2,99.4,-10.17,1997
Seattle SuperSonics,57,25,0.695,0.0,100.9,93.2,6.91,1997
Los Angeles Lakers,56,26,0.683,1.0,100.0,95.7,3.66,1997
Portland Trail Blazers,49,33,0.598,8.0,99.0,94.8,3.56,1997
Phoenix Suns,40,42,0.488,17.0,102.8,102.2,0.21,1997
Los Angeles Clippers,36,46,0.439,21.0,97.2,99.5,-2.66,1997
Sacramento Kings,34,48,0.415,23.0,96.4,99.8,-3.64,1997
Golden State Warriors,30,52,0.366,27.0,99.6,104.4,-4.9,1997
Utah Jazz,62,20,0.756,0.0,101.0,94.4,5.73,1998
San Antonio Spurs,56,26,0.683,6.0,92.5,88.5,3.3,1998
Minnesota Timberwolves,45,37,0.549,17.0,101.1,100.4,0.17,1998
Houston Rockets,41,41,0.5,21.0,98.8,99.5,-1.23,1998
Dallas Mavericks,20,62,0.244,42.0,91.4,97.5,-6.33,1998
Vancouver Grizzlies,19,63,0.232,43.0,96.6,103.9,-7.47,1998
Denver Nuggets,11,71,0.134,51.0,89.0,100.8,-11.74,1998
Seattle SuperSonics,61,21,0.744,0.0,100.6,93.4,6.33,1998
Los Angeles Lakers,61,21,0.744,0.0,105.5,97.8,6.88,1998
Phoenix Suns,56,26,0.683,5.0,99.6,94.4,4.44,1998
Portland Trail Blazers,46,36,0.561,15.0,94.3,92.9,0.83,1998
Sacramento Kings,27,55,0.329,34.0,93.1,98.7,-5.83,1998
Golden State Warriors,19,63,0.232,42.0,88.3,97.4,-9.2,1998
Los Angeles Clippers,17,65,0.207,44.0,95.9,103.3,-7.53,1998
San Antonio Spurs,37,13,0.74,0.0,92.8,84.7,7.12,1999
Utah Jazz,37,13,0.74,0.0,93.3,86.8,5.54,1999
Houston Rockets,31,19,0.62,6.0,94.2,91.9,1.39,1999
Minnesota Timberwolves,25,25,0.5,12.0,92.9,92.6,-0.17,1999
Dallas Mavericks,19,31,0.38,18.0,91.6,94.0,-2.5,1999
Denver Nuggets,14,36,0.28,23.0,93.5,100.1,-6.67,1999
Vancouver Grizzlies,8,42,0.16,29.0,88.9,97.5,-8.94,1999
Portland Trail Blazers,35,15,0.7,0.0,94.8,88.5,5.67,1999
Los Angeles Lakers,31,19,0.62,4.0,99.0,96.0,2.68,1999
Phoenix Suns,27,23,0.54,8.0,95.6,93.3,2.15,1999
Sacramento Kings,27,23,0.54,8.0,100.2,100.6,-0.89,1999
Seattle SuperSonics,25,25,0.5,10.0,94.9,95.9,-1.43,1999
Golden State Warriors,21,29,0.42,14.0,88.3,90.8,-2.63,1999
Los Angeles Clippers,9,41,0.18,26.0,90.4,99.2,-8.94,1999
Utah Jazz,55,27,0.671,0.0,96.5,92.0,4.52,2000
San Antonio Spurs,53,29,0.646,2.0,96.2,90.2,5.92,2000
Minnesota Timberwolves,50,32,0.61,5.0,98.5,96.0,2.67,2000
Dallas Mavericks,40,42,0.488,15.0,101.4,102.0,-0.29,2000
Denver Nuggets,35,47,0.427,20.0,99.0,101.1,-1.76,2000
Houston Rockets,34,48,0.415,21.0,99.5,100.3,-0.57,2000
Vancouver Grizzlies,22,60,0.268,33.0,93.9,99.5,-5.1,2000
Los Angeles Lakers,67,15,0.817,0.0,100.8,92.3,8.41,2000
Portland Trail Blazers,59,23,0.72,8.0,97.5,91.0,6.36,2000
Phoenix Suns,53,29,0.646,14.0,98.9,93.7,5.24,2000
Seattle SuperSonics,45,37,0.549,22.0,99.1,98.1,1.17,2000
Sacramento Kings,44,38,0.537,23.0,105.0,102.0,3.04,2000
Golden State Warriors,19,63,0.232,48.0,95.5,103.8,-7.63,2000
Los Angeles Clippers,15,67,0.183,52.0,92.0,103.5,-10.73,2000
San Antonio Spurs,58,24,0.707,0.0,96.2,88.4,7.92,2001
Utah Jazz,53,29,0.646,5.0,97.1,92.4,5.0,2001
Dallas Mavericks,53,29,0.646,5.0,100.5,96.2,4.61,2001
Minnesota Timberwolves,47,35,0.573,11.0,97.3,96.0,1.81,2001
Houston Rockets,45,37,0.549,13.0,97.2,94.9,2.71,2001
Denver Nuggets,40,42,0.488,18.0,96.6,99.0,-1.83,2001
