franchise,league,start_year,end_year,year,games,wins,losses,win_loss_percentage,playoff_years,first_place_division,conference_championship_win_years,league_championship_win_years
Atlanta Hawks,NBA,1949-50,2024-25,76,5952,2934,3018,0.493,49,12,0,1
Atlanta Hawks,NBA,1968-69,2024-25,57,4534,2236,2298,0.493,36,6,0,0
St. Louis Hawks,NBA,1955-56,1967-68,13,1005,553,452,0.55,12,6,0,1
Milwaukee Hawks,NBA,1951-52,1954-55,4,281,91,190,0.324,0,0,0,0
Tri-Cities Blackhawks,NBA,1949-50,1950-51,2,132,54,78,0.409,1,0,0,0
Boston Celtics,NBA/BAA,1946-47,2024-25,79,6129,3646,2483,0.595,61,34,11,18
Brooklyn Nets,NBA/ABA,1967-68,2024-25,58,4627,2034,2593,0.44,31,5,2,2
Brooklyn Nets,NBA,2012-13,2024-25,13,979,452,527,0.462,8,0,0,0
New Jersey Nets,NBA,1977-78,2011-12,35,2822,1186,1636,0.42,16,4,2,0
New York Nets,NBA,1976-77,1976-77,1,82,22,60,0.268,0,0,0,0
New York Nets,ABA,1968-69,1975-76,8,666,338,328,0.508,7,1,0,2
New Jersey Americans,ABA,1967-68,1967-68,1,78,36,42,0.462,0,0,0,0
Charlotte Hornets,NBA,1988-89,2024-25,35,2727,1179,1548,0.432,10,0,0,0
Charlotte Hornets,NBA,2014-15,2024-25,11,807,344,463,0.426,1,0,0,0
Charlotte Bobcats,NBA,2004-05,2013-14,10,804,293,511,0.364,2,0,0,0
Charlotte Hornets,NBA,1988-89,2001-02,14,1116,542,574,0.486,7,0,0,0
Chicago Bulls,NBA,1966-67,2024-25,59,4695,2389,2306,0.509,36,9,6,6
Cleveland Cavaliers,NBA,1970-71,2024-25,55,4369,2047,2322,0.469,24,7,5,1
Dallas Mavericks,NBA,1980-81,2024-25,45,3558,1805,1753,0.507,25,5,3,1
Denver Nuggets,NBA/ABA,1967-68,2024-25,58,4626,2375,2251,0.513,39,13,1,1
Denver Nuggets,NBA,1976-77,2024-25,49,3882,1962,1920,0.505,30,10,1,1
Denver Nuggets,ABA,1974-75,1975-76,2,168,125,43,0.744,2,2,0,0
Denver Rockets,ABA,1967-68,1973-74,7,576,288,288,0.5,7,1,0,0
Detroit Pistons,NBA/BAA,1948-49,2024-25,77,6014,2834,3180,0.471,42,11,5,3
Detroit Pistons,NBA,1957-58,2024-25,68,5395,2521,2874,0.467,34,9,5,3
Fort Wayne Pistons,NBA/BAA,1948-49,1956-57,9,619,313,306,0.506,8,2,0,0
Golden State Warriors,NBA/BAA,1946-47,2024-25,79,6116,2979,3137,0.487,37,12,7,7
Golden State Warriors,NBA,1971-72,2024-25,54,4284,2091,2193,0.488,20,7,7,5
San Francisco Warriors,NBA,1962-63,1970-71,9,729,330,399,0.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1946-47,1961-62,16,1103,558,545,0.506,12,3,0,2
Houston Rockets,NBA,1967-68,2024-25,58,4621,2379,2242,0.515,34,8,4,2
Houston Rockets,NBA,1971-72,2024-25,54,4293,2260,2033,0.526,33,8,4,2
San Diego Rockets,NBA,1967-68,1970-71,4,328,119,209,0.363,1,0,0,0
Indiana Pacers,NBA/ABA,1967-68,2024-25,58,4626,2363,2263,0.511,37,9,1,3
Indiana Pacers,NBA,1976-77,2024-25,49,3882,1936,1946,0.499,28,6,1,0
Indiana Pacers,ABA,1967-68,1975-76,9,744,427,317,0.574,9,3,0,3
Los Angeles Clippers,NBA,1970-71,2024-25,55,4375,1851,2524,0.423,18,3,0,0
Los Angeles Clippers,NBA,1984-85,2024-25,41,3227,1406,1821,0.436,15,3,0,0
San Diego Clippers,NBA,1978-79,1983-84,6,492,186,306,0.378,0,0,0,0
Buffalo Braves,NBA,1970-71,1977-78,8,656,259,397,0.395,3,0,0,0
Los Angeles Lakers,NBA/BAA,1948-49,2024-25,77,6018,3560,2458,0.592,64,33,19,17
Los Angeles Lakers,NBA,1960-61,2024-25,65,5179,3103,2076,0.599,53,29,19,12
Minneapolis Lakers,NBA/BAA,1948-49,1959-60,12,839,457,382,0.545,11,4,0,5
Memphis Grizzlies,NBA,1995-96,2024-25,30,2326,1006,1320,0.433,13,2,0,0
Memphis Grizzlies,NBA,2001-02,2024-25,24,1866,905,961,0.485,13,2,0,0
Vancouver Grizzlies,NBA,1995-96,2000-01,6,460,101,359,0.22,0,0,0,0
Miami Heat,NBA,1988-89,2024-25,37,2898,1527,1371,0.527,25,16,7,3
Milwaukee Bucks,NBA,1968-69,2024-25,57,4539,2394,2145,0.527,36,19,3,2
Minnesota Timberwolves,NBA,1989-90,2024-25,36,2808,1155,1653,0.411,12,1,0,0
New Orleans Pelicans,NBA,2002-03,2024-25,23,1783,835,948,0.468,9,1,0,0
New Orleans Pelicans,NBA,2013-14,2024-25,12,897,416,481,0.464,4,0,0,0
NO/Ok. City Hornets,NBA,2005-06,2006-07,2,164,77,87,0.47,0,0,0,0
New Orleans Hornets,NBA,2002-03,2012-13,9,722,342,380,0.474,5,1,0,0
New York Knicks,NBA/BAA,1946-47,2024-25,79,6119,2982,3137,0.487,45,8,4,2
Oklahoma City Thunder,NBA,1967-68,2024-25,58,4621,2481,2140,0.537,33,12,4,1
Oklahoma City Thunder,NBA,2008-09,2024-25,17,1291,736,555,0.57,11,6,1,0
Seattle SuperSonics,NBA,1967-68,2007-08,41,3330,1745,1585,0.524,22,6,3,1
Orlando Magic,NBA,1989-90,2024-25,36,2818,1324,1494,0.47,17,7,2,0
Philadelphia 76ers,NBA,1949-50,2024-25,76,5954,3103,2851,0.521,54,12,5,3
Philadelphia 76ers,NBA,1963-64,2024-25,62,4941,2527,2414,0.511,40,9,5,2
Syracuse Nationals,NBA,1949-50,1962-63,14,1013,576,437,0.569,14,3,0,1
Phoenix Suns,NBA,1968-69,2024-25,57,4540,2438,2102,0.537,33,8,3,0
Portland Trail Blazers,NBA,1970-71,2024-25,55,4376,2298,2078,0.525,37,6,3,1
Sacramento Kings,NBA/BAA,1948-49,2024-25,77,6020,2756,3264,0.458,30,6,0,1
Sacramento Kings,NBA,1985-86,2024-25,40,3145,1350,1795,0.429,11,3,0,0
Kansas City Kings,NBA,1975-76,1984-85,10,820,381,439,0.465,4,1,0,0
Kansas City-Omaha Kings,NBA,1972-73,1974-75,3,246,113,133,0.459,1,0,0,0
Cincinnati Royals,NBA,1957-58,1971-72,15,1189,555,634,0.467,7,0,0,0
Rochester Royals,NBA/BAA,1948-49,1956-57,9,620,357,263,0.576,7,2,0,1
San Antonio Spurs,NBA/ABA,1967-68,2024-25,58,4626,2690,1936,0.581,47,22,6,5
San Antonio Spurs,NBA,1976-77,2024-25,49,3882,2312,1570,0.596,39,22,6,5
San Antonio Spurs,ABA,1973-74,1975-76,3,252,146,106,0.579,3,0,0,0
Texas Chaparrals,ABA,1970-71,1970-71,1,84,30,54,0.357,1,0,0,0
Dallas Chaparrals,ABA,1967-68,1972-73,5,408,202,206,0.495,4,0,0,0
Toronto Raptors,NBA,1995-96,2024-25,30,2325,1099,1226,0.473,13,7,1,1
Utah Jazz,NBA,1974-75,2024-25,51,4046,2180,1866,0.539,31,11,2,0
Utah Jazz,NBA,1979-80,2024-25,46,3636,2019,1617,0.555,31,11,2,0
New Orleans Jazz,NBA,1974-75,1978-79,5,410,161,249,0.393,0,0,0,0
Washington Wizards,NBA,1961-62,2024-25,64,5100,2274,2826,0.446,30,8,4,1
Washington Wizards,NBA,1997-98,2024-25,28,2159,896,1263,0.415,9,1,0,0
Washington Bullets,NBA,1974-75,1996-97,23,1886,887,999,0.47,13,2,3,1
Capital Bullets,NBA,1973-74,1973-74,1,82,47,35,0.573,1,1,0,0
Baltimore Bullets,NBA,1963-64,1972-73,10,813,401,412,0.493,7,4,1,0
Chicago Zephyrs,NBA,1962-63,1962-63,1,80,25,55,0.313,0,0,0,0
Chicago Packers,NBA,1961-62,1961-62,1,80,18,62,0.225,0,0,0,0
