Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Season
1,Orlando Magic,82,19930,43.8,87.4,.502,6.6,17.9,.370,37.2,69.5,.535,20.9,31.2,.669,14.5,31.1,45.7,28.9,8.5,6.2,16.4,21.9,115.1,1994-1995
2,Seattle SuperSonics,82,19830,42.0,85.5,.491,6.2,16.5,.376,35.7,68.9,.519,24.6,32.5,.758,13.5,29.6,43.2,26.8,11.6,5.0,16.4,26.2,114.8,1994-1995
3,Phoenix Suns,82,19830,42.3,87.9,.482,7.4,20.0,.369,35.0,67.9,.515,22.4,29.7,.756,13.0,30.3,43.3,27.7,8.7,3.9,14.7,23.2,114.5,1994-1995
4,Utah Jazz,82,19780,42.5,83.0,.512,3.9,10.5,.376,38.5,72.5,.531,25.4,32.5,.781,11.4,31.6,43.0,29.6,9.9,5.1,16.9,26.8,114.3,1994-1995
5,San Antonio Spurs,82,19855,41.3,85.4,.484,5.5,14.8,.375,35.8,70.6,.507,23.5,31.8,.738,13.1,34.0,47.1,24.5,8.4,5.8,15.9,23.9,111.7,1994-1995
6,Portland Trail Blazers,82,19705,41.8,92.6,.451,6.0,16.4,.365,35.8,76.2,.469,20.2,29.0,.697,17.6,31.7,49.3,24.0,8.7,6.1,15.7,26.3,109.7,1994-1995
7,Houston Rockets,82,19730,40.8,85.0,.480,8.3,22.7,.368,32.5,62.3,.521,19.7,26.3,.749,11.4,31.5,42.9,26.6,9.3,6.6,17.1,22.1,109.7,1994-1995
8,Charlotte Hornets,82,19805,40.5,85.6,.474,7.4,18.7,.397,33.1,66.8,.495,21.1,27.1,.777,11.1,31.8,42.9,27.5,8.2,5.3,16.3,22.4,109.6,1994-1995
9,Indiana Pacers,82,19780,40.2,84.2,.477,5.0,13.3,.380,35.2,70.9,.496,24.2,32.2,.751,14.2,30.9,45.0,25.3,9.5,4.9,18.1,26.1,109.6,1994-1995
10,Chicago Bulls,82,19830,42.0,88.2,.476,5.8,15.6,.373,36.1,72.6,.498,19.7,27.2,.726,14.5,30.2,44.7,25.9,10.5,4.6,17.1,25.8,109.5,1994-1995
11,Denver Nuggets,82,19980,40.7,84.9,.479,5.4,15.2,.356,35.3,69.6,.507,22.3,30.3,.738,13.7,31.5,45.2,24.1,8.7,7.7,18.1,27.1,109.1,1994-1995
12,Los Angeles Lakers,82,19905,41.6,89.8,.463,6.7,18.9,.352,34.9,70.9,.493,19.3,26.2,.735,14.3,29.3,43.6,26.3,9.5,7.1,15.7,24.5,109.1,1994-1995
13,Boston Celtics,82,19805,41.0,88.2,.464,4.7,12.7,.368,36.3,75.6,.480,22.0,29.2,.753,14.9,29.9,44.8,23.0,7.9,4.7,16.8,25.5,108.6,1994-1995
14,Miami Heat,82,19805,41.0,87.9,.467,5.7,15.4,.369,35.3,72.5,.487,20.5,27.8,.736,14.2,29.6,43.9,23.2,8.6,3.9,16.8,26.1,108.2,1994-1995
15,Dallas Mavericks,82,19930,41.0,93.4,.440,4.9,15.3,.322,36.1,78.1,.463,20.6,28.1,.734,19.3,30.9,50.2,24.7,7.4,4.4,17.1,23.0,107.6,1994-1995
16,New York Knicks,82,19780,39.7,85.1,.467,7.1,19.2,.368,32.7,65.9,.496,20.7,28.1,.734,12.4,32.9,45.3,27.4,7.9,5.2,17.4,28.0,107.2,1994-1995
17,Golden State Warriors,82,19905,39.6,84.6,.468,6.7,19.7,.341,32.9,64.9,.507,20.8,29.5,.704,13.6,29.2,42.8,24.8,8.0,4.8,18.4,22.2,106.7,1994-1995
18,Atlanta Hawks,82,19855,40.2,89.9,.447,7.3,21.3,.341,32.9,68.6,.480,19.0,26.2,.724,14.9,30.6,45.4,23.6,9.9,5.5,16.4,24.3,106.6,1994-1995
19,Milwaukee Bucks,82,19855,39.4,85.9,.459,6.4,17.6,.366,33.0,68.3,.483,21.0,29.5,.712,13.9,28.5,42.4,22.6,8.8,4.7,18.2,24.2,106.2,1994-1995
20,Sacramento Kings,82,19855,39.6,84.6,.468,4.7,13.6,.346,34.9,71.0,.491,21.6,30.3,.711,14.0,30.4,44.5,23.9,8.5,6.0,19.0,26.7,105.5,1994-1995
21,Washington Bullets,82,19855,40.6,88.2,.460,5.5,16.2,.343,35.1,72.1,.487,18.6,25.7,.724,13.4,28.4,41.7,22.4,8.3,5.2,16.6,24.9,105.4,1994-1995
22,Cleveland Cavaliers,82,19930,39.1,88.8,.441,5.7,14.7,.385,33.5,74.2,.452,21.4,28.1,.760,14.8,31.8,46.6,23.7,8.9,5.0,16.7,24.1,105.3,1994-1995
23,New Jersey Nets,82,19880,38.5,88.2,.436,5.4,17.0,.319,33.0,71.2,.464,22.9,30.2,.759,15.9,33.6,49.5,24.7,7.1,7.2,17.0,24.1,105.2,1994-1995
24,Detroit Pistons,82,19730,39.9,86.6,.461,6.4,18.2,.354,33.5,68.4,.490,18.8,25.3,.741,12.5,28.8,41.3,24.4,9.2,5.5,17.2,28.1,105.1,1994-1995
25,Philadelphia 76ers,82,19805,39.3,87.6,.448,4.7,12.5,.379,34.5,75.1,.460,20.9,28.3,.737,14.7,29.7,44.4,20.9,8.6,7.7,18.0,24.4,104.1,1994-1995
26,Minnesota Timberwolves,82,19780,37.1,82.6,.449,4.2,13.5,.313,32.9,69.1,.475,24.2,31.3,.775,11.7,27.8,39.5,23.6,8.1,5.3,18.6,27.5,102.6,1994-1995
27,Los Angeles Clippers,82,19880,39.2,88.2,.444,4.2,13.5,.315,34.9,74.7,.468,18.9,26.6,.710,13.6,26.6,40.2,23.1,10.1,5.6,17.1,27.5,101.5,1994-1995
