Season,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Name
2020-21,21,MIA,NBA,PF,61,4,737,124,228,.544,0,1,.000,124,227,.546,.544,56,110,.509,73,135,208,29,20,28,43,91,Precious Achiuwa
2021-22,22,TOR,NBA,C,73,28,1725,265,603,.439,56,156,.359,209,447,.468,.486,78,131,.595,146,327,473,82,37,41,84,151,Precious Achiuwa
2022-23,23,TOR,NBA,C,55,12,1140,196,404,.485,29,108,.269,167,296,.564,.521,87,124,.702,100,228,328,50,31,30,59,102,Precious Achiuwa
2023-24,24,2TM,NBA,PF,74,18,1624,235,469,.501,26,97,.268,209,372,.562,.529,69,112,.616,191,296,487,97,46,68,83,143,Precious Achiuwa
2023-24,24,TOR,NBA,C,25,0,437,78,170,.459,13,47,.277,65,123,.528,.497,24,42,.571,50,86,136,44,16,12,29,40,Precious Achiuwa
2023-24,24,NYK,NBA,PF,49,18,1187,157,299,.525,13,50,.260,144,249,.578,.547,45,70,.643,141,210,351,53,30,56,54,103,Precious Achiuwa
2024-25,25,NYK,NBA,PF,10,1,195,21,46,.457,3,9,.333,18,37,.486,.489,7,14,.500,24,46,70,13,8,9,10,14,Precious Achiuwa
2013-14,20,OKC,NBA,C,81,20,1197,93,185,.503,0,0,,93,185,.503,.503,79,136,.581,142,190,332,43,40,57,71,203,Steven Adams
2014-15,21,OKC,NBA,C,70,67,1771,217,399,.544,0,2,.000,217,397,.547,.544,103,205,.502,199,324,523,66,38,86,99,222,Steven Adams
2015-16,22,OKC,NBA,C,80,80,2014,261,426,.613,0,0,,261,426,.613,.613,114,196,.582,219,314,533,62,42,89,84,223,Steven Adams
2016-17,23,OKC,NBA,C,80,80,2389,374,655,.571,0,1,.000,374,654,.572,.571,157,257,.611,281,332,613,86,89,78,146,195,Steven Adams
2017-18,24,OKC,NBA,C,76,76,2487,448,712,.629,0,2,.000,448,710,.631,.629,160,286,.559,384,301,685,88,92,78,128,215,Steven Adams
2018-19,25,OKC,NBA,C,80,80,2669,481,809,.595,0,2,.000,481,807,.596,.595,146,292,.500,391,369,760,124,117,76,135,204,Steven Adams
2019-20,26,OKC,NBA,C,63,63,1680,283,478,.592,1,3,.333,282,475,.594,.593,117,201,.582,207,376,583,146,51,67,94,122,Steven Adams
2020-21,27,NOP,NBA,C,58,58,1605,189,308,.614,0,3,.000,189,305,.620,.614,60,135,.444,213,301,514,111,54,38,78,113,Steven Adams
2021-22,28,MEM,NBA,C,76,75,1999,210,384,.547,0,1,.000,210,383,.548,.547,108,199,.543,349,411,760,256,65,60,115,153,Steven Adams
2022-23,29,MEM,NBA,C,42,42,1133,157,263,.597,0,1,.000,157,262,.599,.597,47,129,.364,214,271,485,97,36,46,79,98,Steven Adams
2024-25,31,HOU,NBA,C,18,0,186,17,28,.607,0,0,,17,28,.607,.607,10,27,.370,28,38,66,19,5,4,21,19,Steven Adams
