franchise,league,start_year,end_year,year,games,wins,losses,win_loss_percentage,playoff_years,first_place_division,conference_championship_win_years,league_championship_win_years
Anderson Packers,NBA,1949-50,1949-50,1,64,37,27,0.578,1,0.0,0,0
Baltimore Bullets,NBA/BAA,1947-48,1954-55,8,450,158,292,0.351,3,0.0,0,1
Chicago Stags,NBA/BAA,1946-47,1949-50,4,237,145,92,0.612,4,1.0,0,0
Cleveland Rebels,BAA,1946-47,1946-47,1,60,30,30,0.5,1,0.0,0,0
Denver Nuggets,NBA,1949-50,1949-50,1,62,11,51,0.177,0,0.0,0,0
Detroit Falcons,BAA,1946-47,1946-47,1,60,20,40,0.333,0,0.0,0,0
Indianapolis Jets,BAA,1948-49,1948-49,1,60,18,42,0.3,0,0.0,0,0
Indianapolis Olympians,NBA,1949-50,1952-53,4,269,132,137,0.491,4,1.0,0,0
Kentucky Colonels,ABA,1967-68,1975-76,9,744,448,296,0.602,9,2.0,0,1
Memphis Sounds,ABA,1967-68,1974-75,8,660,275,385,0.417,4,1.0,0,0
Memphis Sounds,ABA,1974-75,1974-75,1,84,27,57,0.321,1,0.0,0,0
Memphis Tams,ABA,1972-73,1973-74,2,168,45,123,0.268,0,0.0,0,0
Memphis Pros,ABA,1970-71,1971-72,2,168,67,101,0.399,1,0.0,0,0
New Orleans Buccaneers,ABA,1967-68,1969-70,3,240,136,104,0.567,2,1.0,0,0
Pittsburgh Condors,ABA,1967-68,1971-72,5,408,180,228,0.441,2,1.0,0,1
Pittsburgh Condors,ABA,1970-71,1971-72,2,168,61,107,0.363,0,0.0,0,0
Minnesota Pipers,ABA,1968-69,1968-69,1,78,36,42,0.462,1,0.0,0,0
Pittsburgh Pipers,ABA,1967-68,1969-70,2,162,83,79,0.512,1,1.0,0,1
Pittsburgh Ironmen,BAA,1946-47,1946-47,1,60,15,45,0.25,0,0.0,0,0
Providence Steamrollers,BAA,1946-47,1948-49,3,168,46,122,0.274,0,0.0,0,0
San Diego Sails,ABA,1972-73,1975-76,4,263,101,162,0.384,2,0.0,0,0
San Diego Sails,ABA,1975-76,1975-76,1,11,3,8,0.273,0,,0,0
San Diego Conquistadors,ABA,1972-73,1974-75,3,252,98,154,0.389,2,0.0,0,0
Sheboygan Red Skins,NBA,1949-50,1949-50,1,62,22,40,0.355,1,0.0,0,0
Spirits of St. Louis,ABA,1967-68,1975-76,9,744,334,410,0.449,5,1.0,0,0
Spirits of St. Louis,ABA,1974-75,1975-76,2,168,67,101,0.399,1,0.0,0,0
Carolina Cougars,ABA,1969-70,1973-74,5,420,215,205,0.512,3,1.0,0,0
Houston Mavericks,ABA,1967-68,1968-69,2,156,52,104,0.333,1,0.0,0,0
St. Louis Bombers,NBA/BAA,1946-47,1949-50,4,237,122,115,0.515,3,1.0,0,0
The Floridians,ABA,1967-68,1971-72,5,408,189,219,0.463,4,0.0,0,0
The Floridians,ABA,1970-71,1971-72,2,168,73,95,0.435,2,0.0,0,0
Miami Floridians,ABA,1968-69,1969-70,2,162,66,96,0.407,1,0.0,0,0
Minnesota Muskies,ABA,1967-68,1967-68,1,78,50,28,0.641,1,0.0,0,0
Toronto Huskies,BAA,1946-47,1946-47,1,60,22,38,0.367,0,0.0,0,0
Utah Stars,ABA,1967-68,1975-76,9,676,366,310,0.541,6,3.0,0,1
Utah Stars,ABA,1970-71,1975-76,6,436,265,171,0.608,5,3.0,0,1
Los Angeles Stars,ABA,1968-69,1969-70,2,162,76,86,0.469,1,0.0,0,0
Anaheim Amigos,ABA,1967-68,1967-68,1,78,25,53,0.321,0,0.0,0,0
Virginia Squires,ABA,1967-68,1975-76,9,743,326,417,0.439,6,2.0,0,1
Virginia Squires,ABA,1970-71,1975-76,6,503,200,303,0.398,4,1.0,0,0
Washington Capitols,ABA,1969-70,1969-70,1,84,44,40,0.524,1,0.0,0,0
Oakland Oaks,ABA,1967-68,1968-69,2,156,82,74,0.526,1,1.0,0,1
Washington Capitols,NBA/BAA,1946-47,1950-51,5,271,157,114,0.579,4,2.0,0,0
Waterloo Hawks,NBA,1949-50,1949-50,1,62,19,43,0.306,0,0.0,0,0
