Name,From,To,Pos,Height,Weight,Birth Date,Colleges,Retired
Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke,1
Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State,1
Kareem Abdul-Jabbar,1970,1989,C,7-2,225,"April 16, 1947",UCLA,1
Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",LSU,1
Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974","Michigan, San Jose State",1
Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",California,1
Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana,1
Forest Able,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky,1
John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",Salem University,1
Álex Abrines,2017,2019,G-F,6-6,200,"August 1, 1993",,1
Precious Achiuwa,2021,2025,F,6-8,225,"September 19, 1999",Memphis,0
Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine,1
Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",Long Island University,1
Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts,1
Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College,1
Quincy Acy,2013,2019,F-C,6-7,240,"October 6, 1990",Baylor,1
Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",Oklahoma,1
Don Adams,1971,1977,F,6-6,210,"November 27, 1947",Northwestern,1
George Adams,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University,1
Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",Arizona,1
Jaylen Adams,2019,2021,G,6-0,225,"May 4, 1996",St. Bonaventure,1
Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994",UCLA,1
Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College,1
Steven Adams,2014,2025,C,6-11,265,"July 20, 1993",Pitt,0
Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse,1
Bam Adebayo,2018,2025,C-F,6-9,255,"July 18, 1997",Kentucky,0
Deng Adel,2019,2019,F,6-7,200,"February 1, 1997",Louisville,1
Rick Adelman,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount,1
Jeff Adrien,2011,2015,F,6-7,245,"February 10, 1986",UConn,1
Arron Afflalo,2008,2018,G-F,6-5,210,"October 15, 1985",UCLA,1
Ochai Agbaji,2023,2025,G,6-5,215,"April 20, 2000",Kansas,0
Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State,1
Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul,1
Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State,1
Danny Ainge,1982,1995,G,6-5,185,"March 17, 1959",BYU,1
Matt Aitch,1968,1968,F,6-7,230,"September 21, 1944","Moberly Area Community College, Michigan State",1
Alexis Ajinça,2009,2017,C-F,7-2,248,"May 6, 1988",,1
Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University,1
Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","Washington State, Cal State Fullerton",1
DeVaughn Akoon-Purcell,2019,2019,G,6-6,200,"June 5, 1993",Illinois State,1
Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State,1
Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke,1
Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936",Fresno State,1
Santi Aldama,2022,2025,F,6-11,224,"January 10, 2001",Loyola (MD),0
Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",,1
Cole Aldrich,2011,2018,C,6-11,250,"October 31, 1988",Kansas,1
LaMarcus Aldridge,2007,2022,F-C,6-11,250,"July 19, 1985",Texas,1
Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959","Kentucky, UConn",1
Cliff Alexander,2016,2016,F,6-8,245,"November 16, 1995",Kansas,1
Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",Virginia,1
Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","Virginia, Fresno State",1
Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",South Florida,1
Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia,1
Kyle Alexander,2020,2020,F,6-11,220,"October 21, 1996",Tennessee,1
Trey Alexander,2025,2025,G,6-4,185,"May 2, 2003",Creighton,0
Ty-Shon Alexander,2021,2021,G,6-3,195,"July 16, 1998",Creighton,0
Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State,1
Nickeil Alexander-Walker,2020,2025,G,6-5,205,"September 2, 1998",Virginia Tech,0
Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana,1
Rawle Alkins,2019,2019,G,6-5,225,"October 29, 1997",Arizona,0
Bill Allen,1968,1968,C-F,6-8,205,,New Mexico State,1
Bob Allen,1969,1969,F,6-9,205,"July 17, 1946",Marshall,1
Grayson Allen,2019,2025,G,6-4,198,"October 8, 1995",Duke,0
Jarrett Allen,2018,2025,C-F,6-11,243,"April 21, 1998",Texas,0
Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",Penn,1
Kadeem Allen,2018,2020,G,6-1,200,"January 15, 1993",Arizona,1
Lavoy Allen,2012,2017,F-C,6-9,260,"February 4, 1989",Temple,1
Lucius Allen,1970,1979,G,6-2,175,"September 26, 1947",UCLA,1
Malik Allen,2002,2011,F-C,6-10,255,"June 27, 1978",Villanova,1
Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State,1
Ray Allen,1997,2014,G,6-5,205,"July 20, 1975",UConn,1
Timmy Allen,2024,2024,F,6-6,210,"January 9, 2000","Utah, Texas",0
Tony Allen,2005,2018,G-F,6-4,213,"January 11, 1982","Butler County Community College, Oklahoma State",1
Willie Allen,1972,1972,F,6-6,230,"February 8, 1949",Miami (FL),1
Odis Allison,1972,1972,F,6-6,195,"October 2, 1949",UNLV,1
Lance Allred,2008,2008,C,6-11,250,"February 2, 1981","Utah, Weber State",1
Darrell Allums,1981,1981,F,6-9,220,"September 12, 1958",UCLA,1
Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University,1
Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne,1
Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976",Fresno State,1
Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty,1
Jose Alvarado,2022,2025,G,6-0,179,"April 12, 1998",Georgia Tech,0
John Amaechi,1996,2003,C-F,6-10,270,"November 26, 1970","Vanderbilt, Penn State",1
Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois,1
Al-Farouq Aminu,2011,2021,F,6-8,220,"September 21, 1990",Wake Forest,1
Lou Amundson,2007,2016,F-C,6-9,220,"December 7, 1982",UNLV,1
Bob Anderegg,1960,1960,F-G,6-3,200,"August 24, 1937",Michigan State,1
Chris Andersen,2002,2017,C-F,6-10,245,"July 7, 1978",Blinn College,1
David Andersen,2010,2011,C,6-11,245,"June 23, 1980",,1
Alan Anderson,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State,1
Andy Anderson,1968,1970,G,6-2,184,"July 6, 1945",Canisius,1
Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",Memphis,1
Cliff Anderson,1968,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's,1
Dan Anderson,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College,1
Dan Anderson,1975,1976,G,6-2,185,"January 1, 1951",USC,1
Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974","Ohio State, Kentucky",1
Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960","Kentucky, USC",1
Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",Indiana,1
Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",Houston,1
J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley,1
James Anderson,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State,1
Jerome Anderson,1976,1977,G,6-5,195,"October 9, 1953",West Virginia,1
Justin Anderson,2016,2022,G,6-6,230,"November 19, 1993",Virginia,0
Kenny Anderson,1992,2005,G,6-1,168,"October 9, 1970",Georgia Tech,1
Kim Anderson,1979,1979,F,6-7,200,"May 12, 1955",Missouri,1
Kyle Anderson,2015,2025,F-G,6-9,230,"September 20, 1993",UCLA,0
Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",Drexel,1
Nick Anderson,1990,2002,F-G,6-6,205,"January 20, 1968",Illinois,1
Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960",UC Santa Barbara,1
Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958",Fresno State,1
Ryan Anderson,2009,2020,F,6-9,240,"May 6, 1988",California,1
Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",Georgia,1
Willie Anderson,1989,1997,G-F,6-7,190,"January 8, 1967",Georgia,1
Wally Anderzunas,1970,1970,C-F,6-7,220,"January 11, 1946",Creighton,1
Martynas Andriuškevičius,2006,2006,C,7-2,240,"March 12, 1986",,1
Don Anielak,1955,1955,F,6-7,190,"November 1, 1930",Missouri State,1
Ike Anigbogu,2018,2019,F-C,6-10,250,"October 17, 1998",UCLA,1
Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",Alabama,1
Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975",,1
Giannis Antetokounmpo,2014,2025,F-G,6-11,242,"December 6, 1994",,0
Kostas Antetokounmpo,2019,2021,F,6-10,200,"November 20, 1997",Dayton,0
Thanasis Antetokounmpo,2016,2024,F,6-7,219,"July 18, 1992",,0
Carmelo Anthony,2004,2022,F,6-7,238,"May 29, 1984",Syracuse,1
Cole Anthony,2021,2025,G,6-2,185,"May 15, 2000",UNC,0
Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Portland, UNLV",1
Joel Anthony,2008,2017,C,6-9,245,"August 9, 1982",UNLV,1
Pero Antić,2014,2015,C-F,6-11,260,"July 29, 1982",,1
OG Anunoby,2018,2025,F,6-7,232,"July 17, 1997",Indiana,0
Keith Appling,2016,2016,G,6-1,185,"February 13, 1992",Michigan State,1
Rafael Araújo,2005,2007,C,6-11,280,"August 12, 1980",BYU,1
Stacey Arceneaux,1962,1962,F,6-4,210,"February 17, 1936",Iowa State,1
Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",Illinois,1
Tiny Archibald,1971,1984,G,6-1,150,"September 2, 1948","Arizona Western College, Texas-El Paso",1
Ryan Arcidiacono,2018,2024,G,6-3,195,"March 26, 1994",Villanova,0
Jim Ard,1971,1978,F-C,6-8,215,"September 19, 1948",Cincinnati,1
Gilbert Arenas,2002,2012,G,6-4,191,"January 6, 1982",Arizona,1
Trevor Ariza,2005,2022,F,6-8,215,"June 30, 1985",UCLA,1
Paul Arizin,1951,1962,F-G,6-4,190,"April 9, 1928",Villanova,1
Joe Arlauckas,1988,1988,F,6-9,230,"July 20, 1965",Niagara University,1
B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",Iowa,1
Bob Armstrong,1957,1957,C-F,6-8,220,"June 17, 1933",Michigan State,1
Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine,1
Curly Armstrong,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana,1
Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University,1
Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",UConn,1
Tate Armstrong,1978,1979,G,6-3,175,"October 5, 1955",Duke,1
Jesse Arnelle,1956,1956,F,6-5,220,"December 30, 1933",Penn State,1
Jay Arnette,1964,1966,G,6-2,175,"December 19, 1938",Texas,1
Bob Arnzen,1970,1974,F,6-5,205,"November 3, 1947",Notre Dame,1
Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University,1
Darrell Arthur,2009,2018,F,6-9,235,"March 25, 1988",Kansas,1
John Arthurs,1970,1970,G,6-4,185,"August 15, 1947",Tulane,1
Jamel Artis,2018,2018,G-F,6-7,213,"January 12, 1993",Pitt,1
Ömer Aşık,2011,2018,C,7-0,255,"July 4, 1986",,1
Vincent Askew,1988,1998,G-F,6-6,210,"February 28, 1966",Memphis,1
Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",Alabama,1
Don Asmonga,1954,1954,G,6-2,185,"February 15, 1928",Alliance College,1
Dick Atha,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University,1
Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",South Florida,1
Al Attles,1961,1971,G,6-0,175,"November 7, 1936",North Carolina A&T,1
Chet Aubuchon,1947,1947,G,5-10,137,"May 18, 1916",Michigan State,1
Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968",UNLV,1
D.J. Augustin,2009,2022,G,5-11,183,"November 10, 1987",Texas,1
James Augustine,2007,2008,F,6-10,235,"February 27, 1984",Illinois,1
Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State,1
Johnny Austin,1967,1968,G,6-0,170,"August 31, 1944",Boston College,1
Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University,1
Deni Avdija,2021,2025,G-F,6-9,210,"January 3, 2001",,0
Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall,1
Bird Averitt,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine,1
William Avery,2000,2002,G,6-2,197,"August 8, 1979",Duke,1
Dennis Awtrey,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara,1
Joel Ayayi,2022,2022,G,6-5,180,"March 5, 2000",Gonzaga,0
Gustavo Ayón,2012,2014,C,6-10,250,"April 1, 1985",,1
Jeff Ayres,2010,2016,F,6-9,240,"April 29, 1987",Arizona State,1
Deandre Ayton,2019,2025,C,7-0,250,"July 23, 1998",Arizona,0
Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",Kentucky,1
Udoka Azubuike,2021,2024,C,6-10,280,"September 17, 1999",Kansas,0
Chris Babb,2014,2014,G,6-5,225,"February 14, 1990","Penn State, Iowa State",1
Luke Babbitt,2011,2018,F,6-9,225,"June 20, 1989",Nevada,1
Miloš Babić,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University,1
Johnny Bach,1949,1949,F-G,6-2,180,"July 10, 1924",Fordham,1
Dwayne Bacon,2018,2021,G,6-6,221,"August 30, 1995",Florida State,1
Henry Bacon,1973,1973,G,6-3,205,"July 5, 1948",Louisville,1
Ibou Badji,2024,2024,C,7-1,240,"October 13, 2002",,0
Jim Baechtold,1953,1957,F-G,6-4,205,"December 9, 1927",Eastern Kentucky University,1
Dalibor Bagarić,2001,2003,C,7-1,255,"February 7, 1980",,1
John Bagley,1983,1994,G,6-0,185,"April 23, 1960",Boston College,1
Marvin Bagley III,2019,2025,F-C,6-10,235,"March 14, 1999",Duke,0
Amari Bailey,2024,2024,G,6-5,185,"February 17, 2004",UCLA,0
Carl Bailey,1982,1982,C,7-0,210,"April 23, 1958",Tuskegee University,1
Gus Bailey,1975,1980,G-F,6-5,185,"February 18, 1951",Texas-El Paso,1
James Bailey,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University,1
Thurl Bailey,1984,1999,F-C,6-11,215,"April 7, 1961",NC State,1
Toby Bailey,1999,2000,G,6-6,213,"November 19, 1975",UCLA,1
Cameron Bairstow,2015,2016,F-C,6-9,250,"December 7, 1990",New Mexico,1
Jimmie Baker,1976,1976,F,6-9,220,"December 25, 1953","UNLV, Hawaii",1
Mark Baker,1999,1999,G,6-1,175,"November 11, 1969",Ohio State,1
Maurice Baker,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State,1
Norm Baker,1947,1947,G,6-0,180,"February 17, 1923",,1
Ron Baker,2017,2019,G,6-4,220,"March 30, 1993",Wichita State,1
Vin Baker,1994,2006,F-C,6-11,232,"November 23, 1971",University of Hartford,1
Patrick Baldwin Jr.,2023,2025,G-F,6-9,220,"November 18, 2002",UW-Milwaukee,0
Wade Baldwin,2017,2019,G,6-4,200,"March 29, 1996",Vanderbilt,1
Renaldo Balkman,2007,2012,F,6-8,208,"July 14, 1984",South Carolina,1
Cedric Ball,1991,1991,F,6-8,210,"April 16, 1968",UNC Charlotte,1
LaMelo Ball,2021,2025,G,6-7,180,"August 22, 2001",,0
Lonzo Ball,2018,2025,G,6-6,190,"October 27, 1997",UCLA,0
Greg Ballard,1978,1989,F,6-7,215,"January 29, 1955",Oregon,1
Herschel Baltimore,1947,1947,F,6-4,195,"June 21, 1921",Penn State,1
Mo Bamba,2019,2025,C,7-0,231,"May 12, 1998",Texas,0
Paolo Banchero,2023,2025,F,6-10,250,"November 12, 2002",Duke,0
Desmond Bane,2021,2025,G,6-5,215,"June 25, 1998",TCU,0
Gene Banks,1982,1987,F-G,6-7,215,"May 15, 1959",Duke,1
Marcus Banks,2004,2011,G,6-2,200,"November 19, 1981","Dixie State (UT), UNLV",1
