Player,#,Pos,Height,Weight,Birthdate,Age,Exp,School,How Acquired,Team Name,Player Link,Season
Jayson Tatum,#0,F-G,6-8,210 lbs,"MAR 03, 1998",26,7,Duke,#3 Pick in 2017 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1628369/,2024-25
Jrue Holiday,#4,G,6-4,205 lbs,"JUN 12, 1990",34,15,UCLA,Traded from POR on 10/01/23,BOSTON CELTICS,https://www.nba.com/stats/player/201950/,2024-25
Jaylen Brown,#7,G-F,6-6,223 lbs,"OCT 24, 1996",28,8,California,#3 Pick in 2016 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1627759/,2024-25
Kristaps Porziņģis,#8,F-C,7-2,240 lbs,"AUG 02, 1995",29,8,Cajasol Sevilla,Traded from WAS on 06/23/23,BOSTON CELTICS,https://www.nba.com/stats/player/204001/,2024-25
Derrick White,#9,G,6-4,190 lbs,"JUL 02, 1994",30,7,Colorado,Traded from SAS on 02/10/22,BOSTON CELTICS,https://www.nba.com/stats/player/1628401/,2024-25
Payton Pritchard,#11,G,6-1,195 lbs,"JAN 28, 1998",26,4,Oregon,#26 Pick in 2020 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1630202/,2024-25
Drew Peterson,#13,F,6-9,205 lbs,"NOV 09, 1999",25,1,Southern California,Signed on 12/14/23,BOSTON CELTICS,https://www.nba.com/stats/player/1641809/,2024-25
JD Davison,#20,G,6-1,195 lbs,"OCT 03, 2002",22,2,Alabama,#53 Pick in 2022 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1631120/,2024-25
Xavier Tillman,#26,F,6-7,245 lbs,"JAN 12, 1999",25,4,Michigan State,Traded from MEM on 02/07/24,BOSTON CELTICS,https://www.nba.com/stats/player/1630214/,2024-25
Jordan Walsh,#27,G,6-6,205 lbs,"MAR 03, 2004",20,1,Arkansas,Draft Rights Traded from SAC on 06/28/23,BOSTON CELTICS,https://www.nba.com/stats/player/1641775/,2024-25
Anton Watson,#28,F,6-8,225 lbs,"OCT 06, 2000",24,R,Gonzaga,#54 Pick in 2024 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1641817/,2024-25
Sam Hauser,#30,F,6-7,217 lbs,"DEC 08, 1997",27,3,Virginia,Signed on 08/13/21,BOSTON CELTICS,https://www.nba.com/stats/player/1630573/,2024-25
Luke Kornet,#40,C-F,7-1,250 lbs,"JUL 15, 1995",29,7,Vanderbilt,Signed on 02/11/22,BOSTON CELTICS,https://www.nba.com/stats/player/1628436/,2024-25
Al Horford,#42,C-F,6-9,240 lbs,"JUN 03, 1986",38,17,Florida,Traded from OKC on 06/18/21,BOSTON CELTICS,https://www.nba.com/stats/player/201143/,2024-25
Jaden Springer,#44,G,6-4,202 lbs,"SEP 25, 2002",22,3,Tennessee,Traded from PHI on 02/08/24,BOSTON CELTICS,https://www.nba.com/stats/player/1630531/,2024-25
Baylor Scheierman,#55,G,6-6,205 lbs,"SEP 26, 2000",24,R,Creighton,#30 Pick in 2024 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1631248/,2024-25
Neemias Queta,#88,C,7-0,248 lbs,"JUL 13, 1999",25,3,Utah State,Signed on 09/19/23,BOSTON CELTICS,https://www.nba.com/stats/player/1629674/,2024-25
Jayson Tatum,#0,F-G,6-8,210 lbs,"MAR 03, 1998",26,6,Duke,#3 Pick in 2017 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1628369/,2023-24
Jrue Holiday,#4,G,6-4,205 lbs,"JUN 12, 1990",34,14,UCLA,Traded from POR on 10/01/23,BOSTON CELTICS,https://www.nba.com/stats/player/201950/,2023-24
Jaylen Brown,#7,G-F,6-6,223 lbs,"OCT 24, 1996",27,7,California,#3 Pick in 2016 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1627759/,2023-24
Kristaps Porziņģis,#8,F-C,7-2,240 lbs,"AUG 02, 1995",28,7,Cajasol Sevilla,Traded from WAS on 06/23/23,BOSTON CELTICS,https://www.nba.com/stats/player/204001/,2023-24
Derrick White,#9,G,6-4,190 lbs,"JUL 02, 1994",29,6,Colorado,Traded from SAS on 02/10/22,BOSTON CELTICS,https://www.nba.com/stats/player/1628401/,2023-24
Payton Pritchard,#11,G,6-1,195 lbs,"JAN 28, 1998",26,3,Oregon,#26 Pick in 2020 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1630202/,2023-24
Oshae Brissett,#12,F-G,6-7,210 lbs,"JUN 20, 1998",26,4,Syracuse,,BOSTON CELTICS,https://www.nba.com/stats/player/1629052/,2023-24
Drew Peterson,#13,F,6-9,205 lbs,"NOV 09, 1999",24,R,Southern California,Signed on 12/14/23,BOSTON CELTICS,https://www.nba.com/stats/player/1641809/,2023-24
JD Davison,#20,G,6-1,195 lbs,"OCT 03, 2002",21,1,Alabama,#53 Pick in 2022 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1631120/,2023-24
Xavier Tillman,#26,F,6-7,245 lbs,"JAN 12, 1999",25,3,Michigan State,Traded from MEM on 02/07/24,BOSTON CELTICS,https://www.nba.com/stats/player/1630214/,2023-24
Jordan Walsh,#27,G,6-6,205 lbs,"MAR 03, 2004",20,R,Arkansas,Draft Rights Traded from SAC on 06/28/23,BOSTON CELTICS,https://www.nba.com/stats/player/1641775/,2023-24
Sam Hauser,#30,F,6-7,217 lbs,"DEC 08, 1997",26,2,Virginia,Signed on 08/13/21,BOSTON CELTICS,https://www.nba.com/stats/player/1630573/,2023-24
Luke Kornet,#40,C-F,7-1,250 lbs,"JUL 15, 1995",28,6,Vanderbilt,Signed on 02/11/22,BOSTON CELTICS,https://www.nba.com/stats/player/1628436/,2023-24
Al Horford,#42,C-F,6-9,240 lbs,"JUN 03, 1986",38,16,Florida,Traded from OKC on 06/18/21,BOSTON CELTICS,https://www.nba.com/stats/player/201143/,2023-24
Jaden Springer,#44,G,6-4,202 lbs,"SEP 25, 2002",21,2,Tennessee,Traded from PHI on 02/08/24,BOSTON CELTICS,https://www.nba.com/stats/player/1630531/,2023-24
Svi Mykhailiuk,#50,G-F,6-7,205 lbs,"JUN 10, 1997",27,5,Kansas,,BOSTON CELTICS,https://www.nba.com/stats/player/1629004/,2023-24
Neemias Queta,#88,C,7-0,248 lbs,"JUL 13, 1999",24,2,Utah State,Signed on 09/19/23,BOSTON CELTICS,https://www.nba.com/stats/player/1629674/,2023-24
Jayson Tatum,#0,F-G,6-8,210 lbs,"MAR 03, 1998",25,5,Duke,#3 Pick in 2017 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1628369/,2022-23
Jaylen Brown,#7,G-F,6-6,223 lbs,"OCT 24, 1996",26,6,California,#3 Pick in 2016 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1627759/,2022-23
Danilo Gallinari,#8,F,6-10,236 lbs,"AUG 08, 1988",34,13,Olimpia Milano,,BOSTON CELTICS,https://www.nba.com/stats/player/201568/,2022-23
Derrick White,#9,G,6-4,190 lbs,"JUL 02, 1994",28,5,Colorado,Traded from SAS on 02/10/22,BOSTON CELTICS,https://www.nba.com/stats/player/1628401/,2022-23
Payton Pritchard,#11,G,6-1,195 lbs,"JAN 28, 1998",25,2,Oregon,#26 Pick in 2020 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1630202/,2022-23
Grant Williams,#12,F,6-6,236 lbs,"NOV 30, 1998",24,3,Tennessee,,BOSTON CELTICS,https://www.nba.com/stats/player/1629684/,2022-23
Malcolm Brogdon,#13,G,6-4,229 lbs,"DEC 11, 1992",30,6,Virginia,,BOSTON CELTICS,https://www.nba.com/stats/player/1627763/,2022-23
JD Davison,#20,G,6-1,195 lbs,"OCT 03, 2002",20,R,Alabama,#53 Pick in 2022 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1631120/,2022-23
Mfiondu Kabengele,#28,C,6-10,250 lbs,"AUG 14, 1997",25,2,Florida State,,BOSTON CELTICS,https://www.nba.com/stats/player/1629662/,2022-23
Sam Hauser,#30,F,6-7,217 lbs,"DEC 08, 1997",25,1,Virginia,Signed on 08/13/21,BOSTON CELTICS,https://www.nba.com/stats/player/1630573/,2022-23
Marcus Smart,#36,G,6-4,220 lbs,"MAR 06, 1994",29,8,Oklahoma State,,BOSTON CELTICS,https://www.nba.com/stats/player/203935/,2022-23
Luke Kornet,#40,C-F,7-2,250 lbs,"JUL 15, 1995",27,5,Vanderbilt,Signed on 02/11/22,BOSTON CELTICS,https://www.nba.com/stats/player/1628436/,2022-23
Al Horford,#42,C-F,6-9,240 lbs,"JUN 03, 1986",37,15,Florida,Traded from OKC on 06/18/21,BOSTON CELTICS,https://www.nba.com/stats/player/201143/,2022-23
Robert Williams III,#44,C-F,6-9,237 lbs,"OCT 17, 1997",25,4,Texas A&M,,BOSTON CELTICS,https://www.nba.com/stats/player/1629057/,2022-23
Mike Muscala,#57,F-C,6-11,240 lbs,"JUL 01, 1991",31,9,Bucknell,,BOSTON CELTICS,https://www.nba.com/stats/player/203488/,2022-23
Blake Griffin,#91,F,6-9,250 lbs,"MAR 16, 1989",34,12,Oklahoma,,BOSTON CELTICS,https://www.nba.com/stats/player/201933/,2022-23
Justin Champagnie,#99,G-F,6-6,206 lbs,"JUN 29, 2001",22,1,Pittsburgh,,BOSTON CELTICS,https://www.nba.com/stats/player/1630551/,2022-23
Matt Ryan,#,F,6-7,215 lbs,"APR 17, 1997",25,R,Tennessee-Chattanooga,,BOSTON CELTICS,https://www.nba.com/stats/player/1630346/,2021-22
Jayson Tatum,#0,F-G,6-8,210 lbs,"MAR 03, 1998",24,4,Duke,#3 Pick in 2017 Draft,BOSTON CELTICS,https://www.nba.com/stats/player/1628369/,2021-22
