Division,Team Name,Team Profile,Team Stats,Team Schedule
ATLANTIC,Boston Celtics,https://www.nba.com/team/1610612738/celtics/,https://www.nba.com/stats/team/1610612738,https://www.nba.com/celtics/schedule
ATLANTIC,Brooklyn Nets,https://www.nba.com/team/1610612751/nets/,https://www.nba.com/stats/team/1610612751,https://www.nba.com/nets/schedule
ATLANTIC,New York Knicks,https://www.nba.com/team/1610612752/knicks/,https://www.nba.com/stats/team/1610612752,https://www.nba.com/knicks/schedule
ATLANTIC,Philadelphia 76ers,https://www.nba.com/team/1610612755/sixers/,https://www.nba.com/stats/team/1610612755,https://www.nba.com/sixers/schedule
ATLANTIC,Toronto Raptors,https://www.nba.com/team/1610612761/raptors/,https://www.nba.com/stats/team/1610612761,https://www.nba.com/raptors/schedule
CENTRAL,Chicago Bulls,https://www.nba.com/team/1610612741/bulls/,https://www.nba.com/stats/team/1610612741,https://www.nba.com/bulls/schedule
CENTRAL,Cleveland Cavaliers,https://www.nba.com/team/1610612739/cavaliers/,https://www.nba.com/stats/team/1610612739,https://www.nba.com/cavaliers/schedule
CENTRAL,Detroit Pistons,https://www.nba.com/team/1610612765/pistons/,https://www.nba.com/stats/team/1610612765,https://www.nba.com/pistons/schedule
CENTRAL,Indiana Pacers,https://www.nba.com/team/1610612754/pacers/,https://www.nba.com/stats/team/1610612754,https://www.nba.com/pacers/schedule
CENTRAL,Milwaukee Bucks,https://www.nba.com/team/1610612749/bucks/,https://www.nba.com/stats/team/1610612749,https://www.nba.com/bucks/schedule
SOUTHEAST,Atlanta Hawks,https://www.nba.com/team/1610612737/hawks/,https://www.nba.com/stats/team/1610612737,https://www.nba.com/hawks/schedule
SOUTHEAST,Charlotte Hornets,https://www.nba.com/team/1610612766/hornets/,https://www.nba.com/stats/team/1610612766,https://www.nba.com/hornets/schedule
SOUTHEAST,Miami Heat,https://www.nba.com/team/1610612748/heat/,https://www.nba.com/stats/team/1610612748,https://www.nba.com/heat/schedule
SOUTHEAST,Orlando Magic,https://www.nba.com/team/1610612753/magic/,https://www.nba.com/stats/team/1610612753,https://www.nba.com/magic/schedule
SOUTHEAST,Washington Wizards,https://www.nba.com/team/1610612764/wizards/,https://www.nba.com/stats/team/1610612764,https://www.nba.com/wizards/schedule
NORTHWEST,Denver Nuggets,https://www.nba.com/team/1610612743/nuggets/,https://www.nba.com/stats/team/1610612743,https://www.nba.com/nuggets/schedule
NORTHWEST,Minnesota Timberwolves,https://www.nba.com/team/1610612750/timberwolves/,https://www.nba.com/stats/team/1610612750,https://www.nba.com/timberwolves/schedule
NORTHWEST,Oklahoma City Thunder,https://www.nba.com/team/1610612760/thunder/,https://www.nba.com/stats/team/1610612760,https://www.nba.com/thunder/schedule
NORTHWEST,Portland Trail Blazers,https://www.nba.com/team/1610612757/blazers/,https://www.nba.com/stats/team/1610612757,https://www.nba.com/blazers/schedule
NORTHWEST,Utah Jazz,https://www.nba.com/team/1610612762/jazz/,https://www.nba.com/stats/team/1610612762,https://www.nba.com/jazz/schedule
PACIFIC,Golden State Warriors,https://www.nba.com/team/1610612744/warriors/,https://www.nba.com/stats/team/1610612744,https://www.nba.com/warriors/schedule
PACIFIC,LA Clippers,https://www.nba.com/team/1610612746/clippers/,https://www.nba.com/stats/team/1610612746,https://www.nba.com/clippers/schedule
PACIFIC,Los Angeles Lakers,https://www.nba.com/team/1610612747/lakers/,https://www.nba.com/stats/team/1610612747,https://www.nba.com/lakers/schedule
PACIFIC,Phoenix Suns,https://www.nba.com/team/1610612756/suns/,https://www.nba.com/stats/team/1610612756,https://www.nba.com/suns/schedule
PACIFIC,Sacramento Kings,https://www.nba.com/team/1610612758/kings/,https://www.nba.com/stats/team/1610612758,https://www.nba.com/kings/schedule
SOUTHWEST,Dallas Mavericks,https://www.nba.com/team/1610612742/mavericks/,https://www.nba.com/stats/team/1610612742,https://www.nba.com/mavericks/schedule
SOUTHWEST,Houston Rockets,https://www.nba.com/team/1610612745/rockets/,https://www.nba.com/stats/team/1610612745,https://www.nba.com/rockets/schedule
SOUTHWEST,Memphis Grizzlies,https://www.nba.com/team/1610612763/grizzlies/,https://www.nba.com/stats/team/1610612763,https://www.nba.com/grizzlies/schedule
SOUTHWEST,New Orleans Pelicans,https://www.nba.com/team/1610612740/pelicans/,https://www.nba.com/stats/team/1610612740,https://www.nba.com/pelicans/schedule
SOUTHWEST,San Antonio Spurs,https://www.nba.com/team/1610612759/spurs/,https://www.nba.com/stats/team/1610612759,https://www.nba.com/spurs/schedule
