team,achievement_type,year
Boston Celtics,Championship Wins,1957
Boston Celtics,Championship Wins,1959
Boston Celtics,Championship Wins,1960
Boston Celtics,Championship Wins,1961
Boston Celtics,Championship Wins,1962
Boston Celtics,Championship Wins,1963
Boston Celtics,Championship Wins,1964
Boston Celtics,Championship Wins,1965
Boston Celtics,Championship Wins,1966
Boston Celtics,Championship Wins,1968
Boston Celtics,Championship Wins,1969
Boston Celtics,Championship Wins,1974
Boston Celtics,Championship Wins,1976
Boston Celtics,Championship Wins,1981
Boston Celtics,Championship Wins,1984
Boston Celtics,Championship Wins,1986
Boston Celtics,Championship Wins,2008
Boston Celtics,Championship Wins,2024
Boston Celtics,Conference Titles,1974
Boston Celtics,Conference Titles,1976
Boston Celtics,Conference Titles,1981
Boston Celtics,Conference Titles,1984
Boston Celtics,Conference Titles,1985
Boston Celtics,Conference Titles,1986
Boston Celtics,Conference Titles,1987
Boston Celtics,Conference Titles,2008
Boston Celtics,Conference Titles,2010
Boston Celtics,Conference Titles,2022
Boston Celtics,Conference Titles,2024
Boston Celtics,Division Titles,1957
Boston Celtics,Division Titles,1958
Boston Celtics,Division Titles,1959
Boston Celtics,Division Titles,1960
Boston Celtics,Division Titles,1961
Boston Celtics,Division Titles,1962
Boston Celtics,Division Titles,1963
Boston Celtics,Division Titles,1964
Boston Celtics,Division Titles,1965
Boston Celtics,Division Titles,1972
Boston Celtics,Division Titles,1973
Boston Celtics,Division Titles,1974
Boston Celtics,Division Titles,1975
Boston Celtics,Division Titles,1976
Boston Celtics,Division Titles,1980
Boston Celtics,Division Titles,1981
Boston Celtics,Division Titles,1982
Boston Celtics,Division Titles,1984
Boston Celtics,Division Titles,1985
Boston Celtics,Division Titles,1986
Boston Celtics,Division Titles,1987
Boston Celtics,Division Titles,1988
Boston Celtics,Division Titles,1991
Boston Celtics,Division Titles,1992
Boston Celtics,Division Titles,2005
Boston Celtics,Division Titles,2008
Boston Celtics,Division Titles,2009
Boston Celtics,Division Titles,2010
Boston Celtics,Division Titles,2011
Boston Celtics,Division Titles,2012
Boston Celtics,Division Titles,2017
Boston Celtics,Division Titles,2022
Boston Celtics,Division Titles,2023
Boston Celtics,Division Titles,2024
Brooklyn Nets,Conference Titles,2002
Brooklyn Nets,Conference Titles,2003
Brooklyn Nets,Division Titles,2002
Brooklyn Nets,Division Titles,2003
Brooklyn Nets,Division Titles,2004
Brooklyn Nets,Division Titles,2006
