team,player,pos,seasons,year_of_induction
Boston Celtics,Paul Pierce,F,1999-2013,2021
Boston Celtics,Kevin Garnett,F,2008-2013,2020
Boston Celtics,Chuck Cooper,F,1951-1954,2019
Boston Celtics,Paul Westphal,G,1973-1975,2019
Boston Celtics,Charlie Scott,G,1976-1978,2018
Boston Celtics,Dino Radja,F-C,1993-1997,2018
Boston Celtics,Ray Allen,G,2007-2012,2018
Boston Celtics,Shaquille O'Neal,C,2011,2016
Boston Celtics,Jo Jo White,G,1970-1979,2015
Boston Celtics,Gary Payton,G,2005,2013
Boston Celtics,Artis Gilmore,C,1988,2011
Boston Celtics,Dennis Johnson,G,1984-1990,2010
Boston Celtics,Dominique Wilkins,F,1995,2006
Boston Celtics,Robert Parish,C,1981-1994,2003
Boston Celtics,Bob McAdoo,C-F,1979,2000
Boston Celtics,Kevin McHale,F,1981-1993,1999
Boston Celtics,Arnie Risen,C,1956-1958,1998
Boston Celtics,Larry Bird,F,1980-1992,1998
Boston Celtics,Bailey Howell,F,1967-1970,1997
Boston Celtics,Bill Walton,C,1986-1987,1993
Boston Celtics,Dave Cowens,C,1971-1980,1991
Boston Celtics,Tiny Archibald,G,1979-1983,1991
Boston Celtics,Dave Bing,G,1978,1990
Boston Celtics,K.C. Jones,G,1959-1967,1989
Boston Celtics,Clyde Lovellette,C,1963-1964,1988
Boston Celtics,Bob Houbregs,F,1955,1987
Boston Celtics,Pete Maravich,G,1980,1987
Boston Celtics,Tom Heinsohn,F,1957-1965,1986
Boston Celtics,John Havlicek,F,1963-1978,1984
Boston Celtics,Sam Jones,G,1958-1969,1984
Boston Celtics,Frank Ramsey,F,1955-1964,1982
Boston Celtics,Bill Sharman,G,1952-1961,1976
Boston Celtics,Bill Russell,C,1957-1969,1975
Boston Celtics,Bob Cousy,G,1951-1963,1971
Boston Celtics,Andy Phillip,G,1957-1958,1961
Boston Celtics,Ed Macauley,C,1951-1956,1960
Brooklyn Nets,Paul Pierce,F,2014,2021
Brooklyn Nets,Kevin Garnett,F,2014-2015,2020
Brooklyn Nets,Jason Kidd,G,2001-2008,2018
Brooklyn Nets,Maurice Cheeks,G,1992-1993,2018
Brooklyn Nets,Dikembe Mutombo,C,2003,2015
Brooklyn Nets,Alonzo Mourning,C,2004-2005,2014
Brooklyn Nets,Bernard King,F,"1978-1979, 1993",2013
Brooklyn Nets,Mel Daniels,C,1977,2012
Brooklyn Nets,Drazen Petrovic,G,1991-1993,2002
Brooklyn Nets,Bob McAdoo,C-F,1981,2000
Brooklyn Nets,Julius Erving,F,1974-1976,1993
Brooklyn Nets,Tiny Archibald,G,1977,1991
Brooklyn Nets,Rick Barry,F,1971-1972,1987
New York Knicks,Paul Westphal,G,1982-1983,2019
New York Knicks,Jason Kidd,G,2012-2013,2018
New York Knicks,Maurice Cheeks,G,1989-1991,2018
New York Knicks,Tracy McGrady,G-F,2010,2017
New York Knicks,Dikembe Mutombo,C,2004,2015
New York Knicks,Spencer Haywood,F,1976-1979,2015
