player,#,pos,height,weight,age,exp,how_acquired,team,season
Jayson Tatum,0,F-G,80,210,26,7,#3 Pick in 2017 Draft,Boston Celtics,2024-2025
Jrue Holiday,4,G,76,205,34,15,Traded from POR on 10/01/23,Boston Celtics,2024-2025
Jaylen Brown,7,G-F,78,223,28,8,#3 Pick in 2016 Draft,Boston Celtics,2024-2025
Kristaps Porziņģis,8,F-C,86,240,29,8,Traded from WAS on 06/23/23,Boston Celtics,2024-2025
Derrick White,9,G,76,190,30,7,Traded from SAS on 02/10/22,Boston Celtics,2024-2025
Payton Pritchard,11,G,73,195,26,4,#26 Pick in 2020 Draft,Boston Celtics,2024-2025
Drew Peterson,13,F,81,205,25,1,Signed on 12/14/23,Boston Celtics,2024-2025
JD Davison,20,G,73,195,22,2,#53 Pick in 2022 Draft,Boston Celtics,2024-2025
Xavier Tillman,26,F,79,245,25,4,Traded from MEM on 02/07/24,Boston Celtics,2024-2025
Jordan Walsh,27,G,78,205,20,1,Draft Rights Traded from SAC on 06/28/23,Boston Celtics,2024-2025
Anton Watson,28,F,80,225,24,R,#54 Pick in 2024 Draft,Boston Celtics,2024-2025
Sam Hauser,30,F,79,217,27,3,Signed on 08/13/21,Boston Celtics,2024-2025
Luke Kornet,40,C-F,85,250,29,7,Signed on 02/11/22,Boston Celtics,2024-2025
Al Horford,42,C-F,81,240,38,17,Traded from OKC on 06/18/21,Boston Celtics,2024-2025
Jaden Springer,44,G,76,202,22,3,Traded from PHI on 02/08/24,Boston Celtics,2024-2025
Baylor Scheierman,55,G,78,205,24,R,#30 Pick in 2024 Draft,Boston Celtics,2024-2025
Neemias Queta,88,C,84,248,25,3,Signed on 09/19/23,Boston Celtics,2024-2025
Jayson Tatum,0,F-G,80,210,26,6,#3 Pick in 2017 Draft,Boston Celtics,2023-2024
Jrue Holiday,4,G,76,205,34,14,Traded from POR on 10/01/23,Boston Celtics,2023-2024
Jaylen Brown,7,G-F,78,223,27,7,#3 Pick in 2016 Draft,Boston Celtics,2023-2024
Kristaps Porziņģis,8,F-C,86,240,28,7,Traded from WAS on 06/23/23,Boston Celtics,2023-2024
Derrick White,9,G,76,190,29,6,Traded from SAS on 02/10/22,Boston Celtics,2023-2024
Payton Pritchard,11,G,73,195,26,3,#26 Pick in 2020 Draft,Boston Celtics,2023-2024
Oshae Brissett,12,F-G,79,210,26,4,,Boston Celtics,2023-2024
Drew Peterson,13,F,81,205,24,R,Signed on 12/14/23,Boston Celtics,2023-2024
JD Davison,20,G,73,195,21,1,#53 Pick in 2022 Draft,Boston Celtics,2023-2024
Xavier Tillman,26,F,79,245,25,3,Traded from MEM on 02/07/24,Boston Celtics,2023-2024
Jordan Walsh,27,G,78,205,20,R,Draft Rights Traded from SAC on 06/28/23,Boston Celtics,2023-2024
Sam Hauser,30,F,79,217,26,2,Signed on 08/13/21,Boston Celtics,2023-2024
