season,rank,player,age,yrs,g,mp,fg,fga,3p,3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg%,3p%,ft%,mp_(per_game),pts_(per_game),trb_(per_game),ast_(per_game),stl_(per_game),blk_(per_game),debut_date,debut_match
1999-2000,1,Rafer Alston,23,11,671,19392,2450,6391,996,2815,903,1238,247,1891,3202,813,105,1195,1408,6799,0.383,0.354,0.729,28.9,10.1,2.8,4.8,1.2,0.2,2000-02-17, MIL vs. IND
1999-2000,2,Chucky Atkins,25,11,696,17304,2479,6022,934,2565,971,1258,194,1186,2396,465,36,1018,1284,6863,0.412,0.364,0.772,24.9,9.9,1.7,3.4,0.7,0.1,1999-11-02,ORL @ CHH
1999-2000,3,William Avery,20,3,142,1205,137,415,40,157,65,91,17,93,199,34,6,106,125,379,0.33,0.255,0.714,8.5,2.7,0.7,1.4,0.2,0.0,1999-11-13, MIN vs. PHO
1999-2000,4,Jonathan Bender,19,8,262,3847,509,1221,101,297,334,438,153,582,170,43,169,258,391,1453,0.417,0.34,0.763,14.7,5.5,2.2,0.6,0.2,0.6,1999-12-10, IND vs. CLE
1999-2000,5,Calvin Booth,23,10,366,4477,472,1047,2,9,244,326,316,1010,151,101,358,180,678,1190,0.451,0.222,0.748,12.2,3.3,2.8,0.4,0.3,1.0,2000-03-25, WAS @ DAL
1999-2000,6,Lazaro Borrell,27,1,17,167,28,63,0,3,6,11,14,40,10,6,3,6,9,62,0.444,0.0,0.545,9.8,3.6,2.4,0.6,0.4,0.2,1999-11-11, SEA @ CLE
1999-2000,7,Cal Bowdler,22,3,142,1383,163,403,2,11,96,125,90,272,29,42,45,43,155,424,0.404,0.182,0.768,9.7,3.0,1.9,0.2,0.3,0.3,1999-11-02,ATL @ WAS
1999-2000,8,Ryan Bowen,24,10,507,6502,544,1192,14,68,217,313,506,1060,250,325,138,168,752,1319,0.456,0.206,0.693,12.8,2.6,2.1,0.5,0.6,0.3,1999-11-02,DEN vs. PHO
1999-2000,9,Ira Bowman,26,3,17,68,7,11,0,1,1,2,1,5,9,3,0,2,3,15,0.636,0.0,0.5,4.0,0.9,0.3,0.5,0.2,0.0,2000-02-25, PHI @ MIL
1999-2000,10,A.J. Bramlett,23,1,8,61,4,21,0,0,0,0,12,22,0,1,0,3,13,8,0.19,,,7.6,1.0,2.8,0.0,0.1,0.0,1999-12-07,CLE @ TOR
1999-2000,11,Elton Brand,20,17,1058,34910,6599,13185,2,21,3627,4929,3304,9040,2184,940,1828,2060,3115,16827,0.5,0.095,0.736,33.0,15.9,8.5,2.1,0.9,1.7,1999-11-03,CHI vs. NYK
1999-2000,12,Greg Buckner,23,10,570,10895,1120,2491,239,716,399,527,457,1593,719,454,111,394,1342,2878,0.45,0.334,0.757,19.1,5.0,2.8,1.3,0.8,0.2,2000-01-06,DAL vs. UTA
1999-2000,13,Rodney Buford,22,5,230,4182,630,1530,74,247,138,182,117,598,179,115,31,140,332,1472,0.412,0.3,0.758,18.2,6.4,2.6,0.8,0.5,0.1,1999-11-02,MIA vs. DET
1999-2000,14,Anthony Carter,24,13,623,12184,1230,3043,116,464,433,613,244,1302,2363,601,115,958,1103,3009,0.404,0.25,0.706,19.6,4.8,2.1,3.8,1.0,0.2,1999-11-02,MIA vs. DET
1999-2000,15,John Celestand,22,1,16,185,15,45,2,9,5,6,1,11,20,7,0,16,22,37,0.333,0.222,0.833,11.6,2.3,0.7,1.3,0.4,0.0,1999-11-15, LAL @ PHO
1999-2000,16,Vonteego Cummings,23,3,199,3789,521,1359,109,340,230,317,118,373,534,176,32,259,387,1381,0.383,0.321,0.726,19.0,6.9,1.9,2.7,0.9,0.2,1999-11-02,GSW @ DAL
1999-2000,17,Baron Davis,20,13,835,28592,4888,11951,1332,4159,2339,3292,762,3183,6025,1530,360,2308,2361,13447,0.409,0.32,0.711,34.2,16.1,3.8,7.2,1.8,0.4,1999-11-02,CHH vs. ORL
1999-2000,18,Derrick Dial,24,4,82,687,103,277,8,42,39,58,45,133,63,21,11,35,51,253,0.372,0.19,0.672,8.4,3.1,1.6,0.8,0.3,0.1,2000-03-06,SAS vs. NJN
1999-2000,19,Obinna Ekezie,24,4,143,1516,165,390,0,1,180,250,146,383,31,38,27,95,254,510,0.423,0.0,0.72,10.6,3.6,2.7,0.2,0.3,0.2,1999-11-02,VAN vs. POR
1999-2000,20,Evan Eschmeyer,24,4,153,2138,158,341,0,0,105,169,220,601,76,69,95,96,399,421,0.463,,0.621,14.0,2.8,3.9,0.5,0.5,0.6,2000-01-04,NJN @ IND
1999-2000,21,Jeff Foster,23,13,764,15750,1472,2961,7,54,796,1295,2101,5248,703,507,308,613,1921,3747,0.497,0.13,0.615,20.6,4.9,6.9,0.9,0.7,0.4,1999-11-04,IND @ CHH
1999-2000,22,Steve Francis,22,9,576,21632,3543,8267,575,1684,2785,3494,960,3215,3473,846,223,2030,1813,10446,0.429,0.341,0.797,37.6,18.1,5.6,6.0,1.5,0.4,1999-11-02,HOU vs. MIL
