league_champion,most_valuable_player,rookie_of_the_year,ppg_leader,rpg_leader,apg_leader,ws_leader,season
Houston Rockets,David Robinson (27.6/10.8/2.9),"Grant Hill (19.9/6.4/5.0), Jason Kidd (11.7/5.4/7.7)",Shaquille O'Neal (29.3),Dennis Rodman (16.8),John Stockton (12.3),David Robinson (17.5),1994-1995
Chicago Bulls,Michael Jordan (30.4/6.6/4.3),Damon Stoudamire (19.0/4.0/9.3),Michael Jordan (30.4),Dennis Rodman (14.9),John Stockton (11.2),Michael Jordan (20.4),1995-1996
Chicago Bulls,Karl Malone (27.4/9.9/4.5),Allen Iverson (23.5/4.1/7.5),Michael Jordan (29.6),Dennis Rodman (16.1),Mark Jackson (11.4),Michael Jordan (18.3),1996-1997
Chicago Bulls,Michael Jordan (28.7/5.8/3.5),Tim Duncan (21.1/11.9/2.7),Michael Jordan (28.7),Dennis Rodman (15.0),Rod Strickland (10.5),Karl Malone (16.4),1997-1998
San Antonio Spurs,Karl Malone (23.8/9.4/4.1),Vince Carter (18.3/5.7/3.0),Allen Iverson (26.8),Chris Webber (13.0),Jason Kidd (10.8),Karl Malone (9.6),1998-1999
Los Angeles Lakers,Shaquille O'Neal (29.7/13.6/3.8),"Elton Brand (20.1/10.0/1.9), Steve Francis (18.0/5.3/6.6)",Shaquille O'Neal (29.7),Dikembe Mutombo (14.1),Jason Kidd (10.1),Shaquille O'Neal (18.6),1999-2000
Los Angeles Lakers,Allen Iverson (31.1/3.8/4.6),Mike Miller (11.9/4.0/1.7),Allen Iverson (31.1),Dikembe Mutombo (13.5),Jason Kidd (9.8),Shaquille O'Neal (14.9),2000-2001
Los Angeles Lakers,Tim Duncan (25.5/12.7/3.7),Pau Gasol (17.6/8.9/2.7),Allen Iverson (31.4),Ben Wallace (13.0),Andre Miller (10.9),Tim Duncan (17.8),2001-2002
San Antonio Spurs,Tim Duncan (23.3/12.9/3.9),Amar'e Stoudemire (13.5/8.8/1.0),Tracy McGrady (32.1),Ben Wallace (15.4),Jason Kidd (8.9),Tim Duncan (16.5),2002-2003
Detroit Pistons,Kevin Garnett (24.2/13.9/5.0),LeBron James (20.9/5.5/5.9),Tracy McGrady (28.0),Kevin Garnett (13.9),Jason Kidd (9.2),Kevin Garnett (18.3),2003-2004
San Antonio Spurs,Steve Nash (15.5/3.3/11.5),Emeka Okafor (15.1/10.9/0.9),Allen Iverson (30.7),Kevin Garnett (13.5),Steve Nash (11.5),Kevin Garnett (16.1),2004-2005
Miami Heat,Steve Nash (18.8/4.2/10.5),Chris Paul (16.1/5.1/7.8),Kobe Bryant (35.4),Kevin Garnett (12.7),Steve Nash (10.5),Dirk Nowitzki (17.7),2005-2006
San Antonio Spurs,Dirk Nowitzki (24.6/8.9/3.4),Brandon Roy (16.8/4.4/4.0),Kobe Bryant (31.6),Kevin Garnett (12.8),Steve Nash (11.6),Dirk Nowitzki (16.3),2006-2007
Boston Celtics,Kobe Bryant (28.3/6.3/5.4),Kevin Durant (20.3/4.4/2.4),LeBron James (30.0),Dwight Howard (14.2),Chris Paul (11.6),Chris Paul (17.8),2007-2008
Los Angeles Lakers,LeBron James (28.4/7.6/7.2),Derrick Rose (16.8/3.9/6.3),Dwyane Wade (30.2),Dwight Howard (13.8),Chris Paul (11.0),LeBron James (20.3),2008-2009
Los Angeles Lakers,LeBron James (29.7/7.3/8.6),Tyreke Evans (20.1/5.3/5.8),Kevin Durant (30.1),Dwight Howard (13.2),Steve Nash (11.0),LeBron James (18.5),2009-2010
Dallas Mavericks,Derrick Rose (25.0/4.1/7.7),Blake Griffin (22.5/12.1/3.8),Kevin Durant (27.7),Kevin Love (15.2),Steve Nash (11.4),LeBron James (15.6),2010-2011
Miami Heat,LeBron James (27.1/7.9/6.2),Kyrie Irving (18.5/3.7/5.4),Kevin Durant (28.0),Dwight Howard (14.5),Rajon Rondo (11.7),LeBron James (14.5),2011-2012
Miami Heat,LeBron James (26.8/8.0/7.3),Damian Lillard (19.0/3.1/6.5),Carmelo Anthony (28.7),Dwight Howard (12.4),Rajon Rondo (11.1),LeBron James (19.3),2012-2013
San Antonio Spurs,Kevin Durant (32.0/7.4/5.5),Michael Carter-Williams (16.7/6.2/6.3),Kevin Durant (32.0),DeAndre Jordan (13.6),Chris Paul (10.7),Kevin Durant (19.2),2013-2014
Golden State Warriors,Stephen Curry (23.8/4.3/7.7),Andrew Wiggins (16.9/4.6/2.1),Russell Westbrook (28.1),DeAndre Jordan (15.0),Chris Paul (10.2),James Harden (16.4),2014-2015
Cleveland Cavaliers,Stephen Curry (30.1/5.4/6.7),Karl-Anthony Towns (18.3/10.5/2.0),Stephen Curry (30.1),Andre Drummond (14.8),Rajon Rondo (11.7),Stephen Curry (17.9),2015-2016
Golden State Warriors,Russell Westbrook (31.6/10.7/10.4),Malcolm Brogdon (10.2/2.8/4.2),Russell Westbrook (31.6),Hassan Whiteside (14.1),James Harden (11.2),James Harden (15.0),2016-2017
Golden State Warriors,James Harden (30.4/5.4/8.8),Ben Simmons (15.8/8.1/8.2),James Harden (30.4),Andre Drummond (16.0),Russell Westbrook (10.3),James Harden (15.4),2017-2018
Toronto Raptors,Giannis Antetokounmpo (27.7/12.5/5.9),Luka Dončić (21.2/7.8/6.0),James Harden (36.1),Andre Drummond (15.6),Russell Westbrook (10.7),James Harden (15.2),2018-2019
Los Angeles Lakers,Giannis Antetokounmpo (29.5/13.6/5.6),Ja Morant (17.8/3.9/7.3),James Harden (34.3),Andre Drummond (15.2),LeBron James (10.2),James Harden (13.1),2019-2020
